NPI,Full_Name,Primary Specialty,Primary Hospital Affiliation,source_hospital_system,HQ_STATE
1265029144,"Abbo, Miranda Davina",Other,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1649814641,"Abbo, Linda ",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1912345737,"Abbott, Emily Eubanks",Surgery - General Surgery,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1275630501,"Abbott, Cathleen M",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1386072825,"Abbott, Stephanie ",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1093796922,"Abbou, Mushtak A",Obstetrics/Gynecology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1619506573,"Abboud, Michel M",Otolaryngology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,NY
1639750557,"Abboud, Nina B",Family Practice,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1104353077,"Abboud, Ryan ",Family Practice,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1801495023,"Abd, Keriah Khairi",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1326888942,"Abdalaziz, Mohamed ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1427579077,"Abdallah, Fahtme ",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1447230941,"Abdallah, Belal Fouad",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1043410145,"Abdallah, Wissam Mohamad",Cardiology - Cardiologist,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1528418761,"Abdallah, Amjad ",Neurology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1679325062,"Abdallah, Youstina ",Obstetrics/Gynecology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1619613932,"Abdallah, Laila Nicole",Family Practice,Corewell Health Wayne Hospital (FKA Beaumont Hospital - Wayne),BHSH,MI
1265966584,"Abdallah, Mohamed A A",Gastroenterology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1245922194,"Abdallah, Malak ",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1891200440,"Abdallah, Wafaa F",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1831783695,"Abdallah, Fatima ",Nurse - Nurse Practitioner,Corewell Health Taylor Hospital (FKA Beaumont Hospital - Taylor),BHSH,MI
1518923382,"Abdel Fattah, Nazer ",Emergency Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1972703536,"Abdelaziz, Amged Abdelmonim Tagelsir",Cardiology - Interventional Cardiology,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),BHSH,MI
1679197305,"Abdelhalim, Mohammed Ali",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1376740548,"Abdellatif, Badawi ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1700451952,"Abdelrahman, Amearia H",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1730121443,"Abdo, Basil Omar",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1528416211,"Abdo, Jaber Ali",Emergency Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1699263202,"Abdo, Maher K",Emergency Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1124682307,"Abdolkarim, Nisreen ",Nurse - Nurse Practitioner,Corewell Health Taylor Hospital (FKA Beaumont Hospital - Taylor),BHSH,MI
1578699807,"Abdolkarim, Adib Omar",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1205002102,"Abdul-Jauwad, Hend ",Infectious Disease,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1396935946,"Abdul-Malek, Michael A",Cardiology - Cardiologist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1467016774,"Abdulghani, Mariam ",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1316280738,"Abdulhussein, Murtadha ",Psychiatry,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1093240855,"Abdulla, Hafsa ",Pulmonary Disease,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1912469701,"Abdulla, Bilal ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1689649923,"Abdulrazzak, Mamdouh ",Neurology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1104948280,"Abdulrazzak, Ameer ",Nephrology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1831291509,"Abdulrazzak, Abdulkader ",Internal Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1548944697,"Abdulreda, Ahmed ",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1871225276,"Abdulzahra, Haider ",Anesthesiology - Certified Registered Nurse Anesthetist,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1437966488,"Abdurahmanovic, Nadina ",Nurse - Nurse Practitioner,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1821128133,"Abedi, Sayed Raoof",Pain Management,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1700897196,"Abel, Jonathan E",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MA
1659012094,"Abele, Emily Jean",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,OH
1255752143,"Abele, Carey ",Nurse - Nurse Practitioner,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1790301430,"Abenes, Kathleen ",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1073771689,"Abernathy, Courtney Mckay",Anesthesiology - Anesthesiologist,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1174661763,"Abessinio, Carmela A",Obstetrics/Gynecology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1144237926,"Abessinio, Andrea Maria",Obstetrics/Gynecology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1508993882,"Abhari, Farnaz ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1316575863,"Abidi, Zain ",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),BHSH,FL
1841306180,"Abiragi, Roger ",Pediatric Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1801902184,"Abiragi, Carol Fredal",Pediatric Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1225770639,"Abobaker, Esam Mohamed",Neurology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1619402203,"Abol Hosn, Ola ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1598346629,"Aboona, Renee ",Nurse - Nurse Practitioner,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1316567837,"Abou-Alaiwi, Ali ",Emergency Medicine,Corewell Health Wayne Hospital (FKA Beaumont Hospital - Wayne),BHSH,MI
1114499753,"Abou-Arabi, Maisoun ",Therapy - Speech Language Pathologist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1861931941,"Abouarabi, Wassim M",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1205461100,"Abouchedid, Tiana C",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1316408305,"Abouelleil, Mohamed ",Surgery - Neurosurgery,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1194754085,"Aboukasm, Amer Georges",Neurology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1669225637,"Aboumourad, Mohamad Talal",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1962068544,"Abraham, Liberty Anne",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1225045024,"Abraham, Bachu ",Physical Medicine and Rehabilitation,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1679953848,"Abraham, Jonathan Belding",Emergency Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1215376108,"Abraham, Tina Elizabeth",Allergy/Immunology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1841766599,"Abraham, Nitha Mary",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1457305815,"Abrou, Ayad Edward",Dermatology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1295574788,"Abu Abed, Nebras Mohammad Younis",Other,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1194498394,"Abu Dhais, Farah ",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1417070590,"Abu Yasin, Fadi ",Infectious Disease,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1144906116,"Abu-Aqoulah, Abdullah ",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1518285451,"Abu-Khaled, Jamal A",Nephrology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1992873418,"Abu-Mahfouz, Mohammed Z",Cardiology - Cardiologist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1184890253,"Abu-Rashed, Kamal ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1114615739,"Abu-Shaban, Kamil ",Radiology - Diagnostic Radiology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1891490298,"Abuaita, George ",Family Practice,Corewell Health Greenville Hospital (FKA Spectrum Health United Hospital),BHSH,MI
1104895697,"Abufarha, Sami K",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1396869665,"Abuhmaid, Fadi Musa",Nephrology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1396427902,"Abujame, Alaa Saad",Emergency Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),BHSH,MI
1033379458,"Abulaban, Khalid Mohammed",Rheumatology - Pediatric,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1396746194,"Abundis, Margot G",Obstetrics/Gynecology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1174687370,"Aburabia, Majd A",Surgery - General Surgery,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1043915812,"Abusalah, Eman Ayed",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1376962514,"Abushanab, Dania ",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1184352478,"Abuya, Godfrey ",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1386329548,"Acharya Neupane, Sangita ",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1194580191,"Achatz, Aaron N",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1427345065,"Achira, Ali Alexandru",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1306409016,"Achmar, Dana ",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1932631314,"Acho, Robert Joseph",Surgery - General Surgery,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1295244630,"Achramowicz, Scott Richard",Physician Assistant,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),BHSH,MI
1720672736,"Achrem, Ryan Keith",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1508116260,"Achrem, Tracie Marie",Nurse - Certified Nurse Midwife,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1194166652,"Achtman, Shawn Adam",Physical Medicine and Rehabilitation,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1487947362,"Acker, William Brian",Surgery - Orthopedic Surgery,Corewell Health Taylor Hospital (FKA Beaumont Hospital - Taylor),BHSH,MI
1760924534,"Acker, Leeann M",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,AZ
1922666379,"Ackerman, Raymond Robert",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),BHSH,MI
1689275026,"Ackerman, Lindsey Ruth",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1194822775,"Acuna, Rebecca Lynn",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1790350064,"Adair, Bianca Marie",Anesthesiology - Certified Registered Nurse Anesthetist,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1942493838,"Adam, Abdulgadir Khalifa",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1417052135,"Adamkiewicz, Carol C",Anesthesiology - Certified Registered Nurse Anesthetist,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1851311021,"Adamo, James Darryl",Psychiatry,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1417234717,"Adamovich, Timothy ",Anesthesiology - Certified Registered Nurse Anesthetist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1649615444,"Adams, Audra Elizabeth",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,OR
1679869143,"Adams, Stacie Diane",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1740620970,"Adams, Aimee Gayle",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1598922577,"Adams, Lauren E",Emergency Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1679758080,"Adams, David H",Physician Assistant,Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),BHSH,MI
1467862052,"Adams, Daniel James",Physical Medicine and Rehabilitation,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1366770505,"Adams, Marcy Lind",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1982293478,"Adams, Kelly ",Nurse - Nurse Practitioner,Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),BHSH,MI
1124225255,"Adams, Carlo E",Physical Medicine and Rehabilitation,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1316528276,"Adams, Grant ",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,IN
1699799619,"Adams, David Raymond",Pediatric Medicine,Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),BHSH,MD
1154018133,"Adams, Samuel David",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1689315673,"Adams, Spencer ",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1841299278,"Adas, Robert Donald",Podiatry,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),BHSH,MI
1780063230,"Adas, Jamal ",Emergency Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1689452575,"Addington, Emily Jane",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1356330864,"Addy, Akuorkor A",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1003393695,"Adegeye, Charmaine ",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1134380470,"Adegoke, Rueben A",Obstetrics/Gynecology,Corewell Health Ludington Hospital (FKA Spectrum Health Ludington Hospital),BHSH,NV
1457385866,"Adelman, Brian D",Obstetrics/Gynecology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1316679921,"Adeoye, Oluwatoyosi Mary",Obstetrics/Gynecology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1164813739,"Adeyemo, Olufunke M",Pediatric Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1427289883,"Adeyemo, Adewunmi O",Surgery - Colorectal Surgery (formerly proctology),Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1205574118,"Adkins, Tina ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1003473851,"Adlam, Taylor ",Dermatology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1295591618,"Adler, Andrea Carol Baker",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1235806852,"Adler, Alexander Gerard",Other,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1346664802,"Afify, Ahmed ",,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1154532448,"Afman, Chad E",Otolaryngology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1477590073,"Afonso, Nelia Maria",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1124031687,"Afr, Nancy M",Obstetrics/Gynecology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1174759906,"Afzal, Muriam N",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1508329137,"Agabigum, Bora Mustafa",Otolaryngology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1073603213,"Agarwal, Nalini ",Psychiatry,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1922053636,"Agbassi, Innocent Egwuatu",Pediatric Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1245226380,"Agerson, Kirk Joseph",Family Practice,Corewell Health Pennock Hospital (FKA Spectrum Health Pennock),BHSH,MI
1265693220,"Agerson, Ashley Nicole",Anesthesiology - Anesthesiologist,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1023007176,"Aggarwal, Kewal K",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1720408313,"Aggarwal, Shefali ",Critical Care (Intensivists) - Pediatric,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1356505010,"Aggarwal, Himanshu ",Ophthalmology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1356879035,"Aggarwal, Arpit ",Surgery - Colorectal Surgery (formerly proctology),Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1649560798,"Aggarwal, Puneet Kumar",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1023119112,"Aggarwal, Alka D",Family Practice,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),BHSH,MI
1497327266,"Aggarwal, Nishant ",Gastroenterology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1700862034,"Aggarwal, Satinder Kumar",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1487636684,"Aggarwal, Inderjit ",Cardiology - Cardiologist,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1053571034,"Aggarwal, Anju Goyal",Ophthalmology,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),BHSH,MI
1235164872,"Agha, Jawad ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1831125467,"Agha, Abid H",Sleep Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),BHSH,MI
1457191975,"Aghigh, Keon ",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1699860585,"Agnone, Eugene John",Oncology - Medical Oncology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1811630890,"Agosta, Ashley ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1356575963,"Agrawal, Roli R",Radiology - Diagnostic Radiology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1386625606,"Agrest, Kevin A",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1689043424,"Agrusa, Joshua R",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1992371009,"Agrusa, Vito Matteo",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
