Primary_Specialty,unique_prescribers,total_prescriptions,total_payments,avg_payment,avg_cost_per_prescription,avg_prescriptions_per_provider
Other,316,561116.000000000,45055026.618452000,185.594935815,80.295387439,1.360667147
Podiatry,266,663226.000000000,31897227.368603000,106.802209118,48.094054468,1.311609823
Otolaryngology,108,753375.000000000,29850549.406955000,93.732590416,39.622431600,1.348797697
Hospitalist,205,602144.000000000,28360712.388286000,92.183192879,47.099551583,1.123990144
Physical Medicine and Rehabilitation,77,730740.000000000,27397547.038907000,79.544370393,37.492879874,1.358358831
Endocrinology - Pediatric,5,50618.000000000,25974694.344422000,1066.109602053,513.151336371,1.540882801
Gastroenterology - Pediatric,10,94961.000000000,25517204.751454000,564.489973265,268.712468818,1.492628104
Surgery - Orthopedic Surgery,379,1288529.000000000,25505843.470494000,50.690008149,19.794543600,1.309736249
Pain Management - Interventional Pain Management,45,761644.000000000,25206522.824318000,74.761086912,33.094887932,1.412515694
Pain Management,41,683002.000000000,23800622.959904000,77.171270212,34.847076524,1.460401427
Surgery - General Surgery,415,529464.000000000,22727902.291323000,100.070898349,42.926246716,1.232443756
Critical Care (Intensivists),89,85462.000000000,20849347.943066000,436.343140577,243.960449592,1.256701713
Geriatric Medicine,26,410381.000000000,18837353.751729000,94.272556785,45.902109873,1.272309858
Unknown,57,325838.000000000,18235049.638374000,118.568788166,55.963545192,1.232283733
Oncology - Gynecological/Oncology,22,92021.000000000,12911015.569145000,268.437024537,140.305099588,1.223114242
Endocrinology - Reproductive,8,78611.000000000,10775430.367678000,373.861299274,137.072806194,1.503135875
Surgery - Vascular Surgery,67,127240.000000000,8729715.810280000,142.062096180,68.608266349,1.269125656
Nurse - Certified Nurse Midwife,52,207201.000000000,7903344.240084000,68.573275028,38.143369193,1.214215393
Adult Medicine,6,187592.000000000,7198632.475698000,101.940530131,38.373877754,1.843909727
Adolescent Medicine,11,171169.000000000,5985387.941149000,70.817070022,34.967709931,1.402380874
Surgery - Colorectal Surgery (formerly proctology),28,98489.000000000,4701897.943199000,104.428605068,47.740335908,1.335951276
Obstetrics/Gynecology - Maternal & Fetal Medicine,15,40346.000000000,3749410.763176000,164.174216796,92.931412362,1.275682170
Surgery - Neurosurgery,106,188419.000000000,2646747.622568000,31.247758289,14.047137617,1.239712868
Osteopathic Manipulative Medicine,8,59726.000000000,2527042.899145000,93.269465533,42.310600059,1.183091338
Cardiology - Pediatric Cardiologist,21,35162.000000000,2355927.220384000,108.433157840,67.002082373,1.179339259
Surgery - Plastic and Reconstructive Surgery,122,282917.000000000,2132820.371234000,22.767569453,7.538678733,1.310668637
Radiology - Radiation Oncology,54,60690.000000000,1963050.412174000,63.163242452,32.345533237,1.145461752
Radiology - Diagnostic Radiology,293,33530.000000000,1440678.619643000,110.506912606,42.966854150,1.198870137
Pathology,91,19313.000000000,1229227.608057000,166.991931539,63.647678147,1.522506898
Sports Medicine,13,35067.000000000,1189821.097382000,92.105674050,33.929936903,1.281829148
Surgery - Surgical Oncology,14,19617.000000000,1158187.121578000,114.740154704,59.039971534,1.169488494
Optometry,5,15437.000000000,1110324.831612000,158.459373714,71.926205326,1.470050471
Surgery - Foot and Ankle,12,21991.000000000,1090292.725992000,107.101446561,49.579042608,1.361418931
Surgery - Oral Surgery (dentists only),39,216857.000000000,782256.842880000,13.275466150,3.607247370,1.493937640
Surgery - Thoracic Surgery,54,29718.000000000,760530.334511000,57.707742204,25.591571926,1.126108374
Surgery - Hand Surgery,20,39636.000000000,742611.465841000,52.021818973,18.735782265,1.258965156
Radiology - Interventional Radiology,29,8996.000000000,704307.826596000,166.621203358,78.291221276,1.200266845
Hospice and Palliative Care,7,17002.000000000,643907.692026000,67.052763931,37.872467476,1.204961021
Nurse - Certified Clinical Nurse Specialist,5,21149.000000000,510735.087344000,49.643768210,24.149372894,1.218190196
Critical Care (Intensivists) - Pediatric,19,15528.000000000,403555.580830000,45.216311578,25.988896241,1.307400859
Cardiology - Cardiac Surgery,20,8406.000000000,297638.408771000,75.677195213,35.407852578,1.150246305
Emergency Medicine - Pediatric,8,22076.000000000,296476.327620000,24.127305308,13.429802846,1.298511852
Neonatal-Perinatal Medicine,48,6544.000000000,253818.334756000,82.596269039,38.786420348,1.473873874
Surgery - Oral and Maxillofacial Surgery,18,130394.000000000,203223.057079000,5.523566457,1.558530738,1.720124002
Surgery - Maxillofacial Surgery,7,52790.000000000,151275.693855000,9.599929804,2.865612689,1.503817229
Surgery - Pediatric Surgery,14,3868.000000000,118773.513409000,56.344171446,30.706699434,1.212919410
Anesthesiology - Certified Registered Nurse Anesthetist,227,2352.000000000,78109.841624000,113.697003820,33.209966677,1.113636364
Surgery - Orthopedic Spine Surgery,5,5670.000000000,66957.114214000,31.361646002,11.809014853,1.149169031
