Facility_Name,City,total_providers,bcbsmi_providers,bcbsmi_coverage_pct,providers_analyzed,providers_with_payments,payment_penetration_pct,total_payments,avg_payment_per_provider,max_provider_payment,total_transactions,avg_manufacturers_per_provider,total_rx_cost,total_rx_count,unique_drugs,top_drugs,max_drug_prescribers,payment_intensity_score,payment_penetration_score,prescription_volume_score,provider_concentration_score,composite_risk_score,risk_rank,risk_category
Bay Street Orthopaedics,Petoskey,15,13,86.67,13,13,100.0,493184.5,37937.269230769,446228.95,573,8.461538461538462,0.0,0.0,0,0,0,8.485435056378837,30.0,0.0,17.334,55.819435056378836,15.0,Medium
Consultants in Sleep & Pulmonary Medicine PLLC,Farmington Hills,15,14,93.33,13,13,100.0,368224.45,28324.957692308,300325.61,3042,25.69230769230769,0.0,0.0,0,0,0,6.335447802284681,30.0,0.0,18.666,55.00144780228469,16.0,Medium
Corewell Health Butterworth Hospital (FKA Spectrum Health Butterworth Hospital),Grand Rapids,6052,5110,84.43,2473,1780,71.98,5828212.56,3274.276719101,918686.51,57319,4.909017387788114,430715117.92666,507661.0,8,"TRULICITY: $113.2M, ELIQUIS: $97.8M, OZEMPIC: $63.5M",1366,0.7323579957096854,21.594,15.36586989351104,16.886000000000003,54.57822788922073,17.0,Medium
Bay Nursing Inc,Romeo,158,157,99.37,91,82,90.11,1871718.77,22825.838658537,608617.5,7665,12.274725274725279,50805144.88747,64188.0,8,"TRULICITY: $13.8M, OZEMPIC: $13.2M, ELIQUIS: $9.8M",72,5.10545897139342,27.033,1.8124862902879793,19.874000000000002,53.8249452616814,18.0,Medium
Heart Cardiology Consultants,Southfield,13,13,100.0,10,10,100.0,146302.08,14630.208,76044.93,1019,18.699999999999996,15069742.12078,19771.0,5,"ELIQUIS: $9.3M, XARELTO: $5M, JARDIANCE: $0.7M",10,3.272340955543196,30.0,0.5376168309840877,20.0,53.80995778652728,19.0,Medium
Bloomfield Hills Surgical Center,Bloomfield Hills,22,22,100.0,10,10,100.0,163297.65,16329.765,91376.73,1590,26.0,0.0,0.0,0,0,0,3.6524811406574558,30.0,0.0,20.0,53.65248114065746,20.0,Medium
Cardiology and Vascular Associates PC,Bloomfield Hills,13,13,100.0,12,12,100.0,144794.46,12066.205,83609.37,2455,25.0,22997452.42016,29690.0,5,"ELIQUIS: $15.7M, XARELTO: $6.4M, JARDIANCE: $0.8M",12,2.698849995808678,30.0,0.8204398848859542,20.0,53.519289880694636,21.0,Medium
Ascension Borgess Allegan Hospital (FKA Allegan General Hospital),Allegan,460,421,91.52,332,265,79.82,3662891.82,13822.233283019,1175955.05,21338,8.587349397590364,228212295.28981,234590.0,8,"ELIQUIS: $60.8M, STELARA: $50M, TRULICITY: $30.9M",223,3.091621121797815,23.945999999999998,8.141530890308434,18.304000000000002,53.483152012106245,22.0,Medium
Alliance Surgery Center,Traverse City,36,24,66.67,19,18,94.74,930471.15,51692.841666667,872287.66,421,4.947368421052631,0.0,0.0,0,0,0,11.562146135874775,28.421999999999997,0.0,13.334000000000001,53.31814613587478,23.0,Medium
Corewell Health Reed City Hospital (FKA Spectrum Health Reed City Hospital),Reed City,937,858,91.57,29,26,89.66,841231.52,32355.058461538,446037.98,2560,12.172413793103447,18159539.81602,22447.0,7,"ELIQUIS: $6.9M, TRULICITY: $4.7M, OZEMPIC: $2.2M",21,7.2368610837716885,26.898,0.6478461389565382,18.314,53.09670722272823,24.0,Medium
ProMedica Charles and Virginia Hickman Hospital,Adrian,731,640,87.55,251,233,92.83,2041706.21,8762.687596567,837185.92,19055,14.972111553784863,158268823.8401,206185.0,8,"ELIQUIS: $58.3M, TRULICITY: $25.6M, XARELTO: $22M",163,1.9599517315732333,27.849,5.646279998326163,17.509999999999998,52.96523172989939,25.0,Medium
Corewell Health Dearborn Hospital (AKA Beaumont Hospital - Dearborn),Dearborn,4323,3951,91.39,1624,1308,80.54,8255593.67,6311.615955657,1056017.74,90593,9.264778325123155,249916492.21811,303246.0,8,"TRULICITY: $59.7M, ELIQUIS: $54.3M, OZEMPIC: $44.6M",923,1.4117201469286227,24.162000000000003,8.91583356105933,18.278000000000002,52.76755370798796,26.0,Medium
Covenant Medical Center - Harrison,Saginaw,1229,1073,87.31,451,385,85.37,4475728.18,11625.268,3035309.96,23585,9.150776053215077,194181221.30032,179222.0,8,"STELARA: $45.4M, TRULICITY: $42.9M, ELIQUIS: $38M",341,2.6002255467294613,25.611,6.927463787727674,17.462,52.60068933445713,27.0,Medium
Hamilton Community Health Network Inc,Flint,53,67,126.42,26,23,88.46,21693.42,943.192173913,4227.9,972,9.615384615384615,5189696.42697,5996.0,7,"TRULICITY: $1.8M, JARDIANCE: $1.2M, OZEMPIC: $0.8M",14,0.21096394389220788,26.537999999999997,0.1851437220673981,25.284,52.2181076659596,28.0,Medium
Cardiovascular Institute of Michigan,Roseville,12,12,100.0,12,12,100.0,95475.27,7956.2725,54752.62,1895,24.333333333333332,12251989.14288,15983.0,5,"ELIQUIS: $7.2M, XARELTO: $4.1M, JARDIANCE: $0.9M",12,1.7795807383744684,30.0,0.43709278655563766,20.0,52.21667352493011,29.0,Medium
Absolute Home Health Care,Grand Blanc,103,103,100.0,95,84,88.42,1103552.57,13137.530595238,525084.28,11761,17.90526315789474,76952035.72187,102203.0,8,"ELIQUIS: $22M, TRULICITY: $19.2M, OZEMPIC: $17.3M",92,2.9384735624742375,26.526,2.745283180759881,20.0,52.20975674323412,30.0,Medium
AZ Home Health Care,Flint,17,17,100.0,16,16,100.0,58114.5,3632.15625,13148.66,3093,25.0625,27534945.04654,33515.0,7,"ELIQUIS: $11.5M, TRULICITY: $6.6M, XARELTO: $3.7M",16,0.8124049674349941,30.0,0.9823160727368594,20.0,51.79472104017185,31.0,Medium
Allergy and Asthma Associates of MI PC,Royal Oak,11,11,100.0,11,11,100.0,88093.08,8008.461818182,31637.65,3393,28.363636363636363,0.0,0.0,0,0,0,1.7912539314916702,30.0,0.0,20.0,51.79125393149167,32.0,Medium
McLaren Health Care Corporation,Grand Blanc,3040,2887,94.97,620,545,87.9,2606603.35,4782.758440367,374069.69,34651,10.84193548387097,148867452.04107,213469.0,8,"ELIQUIS: $61.7M, XARELTO: $25.9M, TRULICITY: $16.2M",392,1.06976034277044,26.37,5.3108837006995335,18.994,51.744644043469975,33.0,Medium
Affinity Home Care Agency,Commerce Township,34,34,100.0,27,26,96.3,270191.3,10391.973076923,142334.16,2851,15.148148148148147,14068767.43461,18423.0,6,"OZEMPIC: $3.6M, TRULICITY: $3.1M, ELIQUIS: $3.1M",24,2.324374274686824,28.89,0.5019068079219179,20.0,51.716281082608745,34.0,Medium
Beacon Home Care,Port Huron,73,73,100.0,59,54,91.53,579674.54,10734.713703704,158383.78,8311,20.406779661016945,50555517.81699,62417.0,7,"TRULICITY: $13.7M, OZEMPIC: $12.5M, JARDIANCE: $8.3M",48,2.401035125314786,27.459,1.80358078192004,20.0,51.66361590723483,35.0,Medium
Alliance Health Professionals PLLC,Mount Clemens,52,52,100.0,43,43,100.0,90798.64,2111.59627907,6412.82,4948,21.720930232558143,29965061.73637,37329.0,8,"ELIQUIS: $8.6M, JARDIANCE: $6.7M, OZEMPIC: $5.8M",41,0.472301076346514,30.0,1.0690110953349186,20.0,51.54131217168143,36.0,Medium
Andersen Eye Associates,Saginaw,10,10,100.0,10,10,100.0,67580.05,6758.005,60150.98,301,11.5,0.0,0.0,0,0,0,1.5115640556351417,30.0,0.0,20.0,51.51156405563514,37.0,Medium
Advanced Professional Home Health Care - Troy,Troy,253,253,100.0,226,178,78.76,3450859.12,19386.848988764,519766.37,12868,8.24336283185841,97406178.17342,77890.0,8,"STELARA: $43.1M, ELIQUIS: $14.6M, OZEMPIC: $11.5M",153,4.336259603750242,23.628000000000004,3.4749898444284053,20.0,51.43924944817865,38.0,Medium
Advanced Cardiovascular Associates PLC,Shelby Township,11,11,100.0,11,11,100.0,48610.1,4419.1,16528.55,2050,25.363636363636363,11267922.56196,13897.0,5,"ELIQUIS: $6.7M, XARELTO: $3.9M, JARDIANCE: $0.6M",11,0.9884208014432152,30.0,0.401985964390311,20.0,51.390406765833525,39.0,Medium
Ark Cardiovascular & Arrhythmia Center,Dearborn,19,18,94.74,17,17,100.0,171958.29,10115.193529412,64481.24,1854,18.705882352941178,4050464.5397,6267.0,6,"ELIQUIS: $2M, XARELTO: $1.5M, JARDIANCE: $0.4M",17,2.2624669491739566,30.0,0.14450133866884146,18.947999999999997,51.354968287842794,40.0,Medium
Americans Home Health & Hospice Care - Home Health,Saginaw,117,117,100.0,85,67,78.82,1307338.61,19512.516567164,779293.34,5034,10.89411764705882,91892328.89388,108949.0,8,"TRULICITY: $31.5M, ELIQUIS: $19M, OZEMPIC: $18.8M",81,4.3643676910434825,23.645999999999997,3.2782818880193436,20.0,51.28864957906282,41.0,Medium
CorsoCare Home Health (FKA Michigan Premier Home Care and Hospice),Milford,23,23,100.0,10,10,100.0,51402.75,5140.275,39239.7,335,9.9,3210299.8358,4416.0,5,"TRULICITY: $1M, ELIQUIS: $0.9M, JARDIANCE: $0.6M",8,1.1497261286548217,30.0,0.11452825206953185,20.0,51.26425438072435,42.0,Medium
Consultants in Cardiology PC,Farmington Hills,13,13,100.0,12,12,100.0,48532.49,4044.374166667,17488.38,837,20.166666666666668,8671941.52649,11062.0,5,"ELIQUIS: $5.5M, XARELTO: $2.7M, JARDIANCE: $0.5M",12,0.9046058145670456,30.0,0.309373689648085,20.0,51.21397950421513,43.0,Medium
Cardiology Associates of Port Huron,Port Huron,14,14,100.0,14,14,100.0,23024.56,1644.611428571,4996.68,701,14.642857142857144,23671233.4441,30017.0,5,"ELIQUIS: $16.3M, XARELTO: $6.1M, JARDIANCE: $1.3M",14,0.36785050039393064,30.0,0.844477191958936,20.0,51.21232769235287,44.0,Medium
Advanced Vascular Surgery,Kalamazoo,11,11,100.0,11,11,100.0,52936.84,4812.44,10967.3,1540,27.81818181818182,2796804.24978,4096.0,5,"TRULICITY: $0.8M, OZEMPIC: $0.7M, XARELTO: $0.6M",9,1.0763992219450533,30.0,0.09977669329697375,20.0,51.17617591524203,45.0,Medium
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Saint Joseph,1858,1500,80.73,822,704,85.64,8573878.91,12178.805269886,2279390.05,42364,9.217761557177617,183850634.013287,220409.0,8,"ELIQUIS: $42.4M, TRULICITY: $37.4M, OZEMPIC: $33.8M",537,2.724035316123548,25.692,6.558917494437041,16.146,51.12095281056059,46.0,Medium
AccentCare Home Health - Madison Heights,Madison Heights,75,75,100.0,71,61,85.92,963128.15,15788.986065574,403766.78,8496,16.112676056338028,49663597.67557,69601.0,6,"ELIQUIS: $12.3M, JARDIANCE: $10.4M, TRULICITY: $10M",67,3.5315250301894974,25.776,1.7717613071023595,20.0,51.079286337291855,47.0,Medium
Clarkston Medical Group,Clarkston,21,21,100.0,15,15,100.0,37205.34,2480.356,5647.82,2497,28.666666666666668,12496466.52026,18350.0,5,"OZEMPIC: $3.7M, TRULICITY: $3.7M, JARDIANCE: $2.5M",14,0.554781621910454,30.0,0.44581457833023597,20.0,51.00059620024069,48.0,Medium
Comprehensive Urology,Royal Oak,39,39,100.0,31,31,100.0,120486.57,3886.663548387,12010.34,4031,30.35483870967742,3303268.95228,4113.0,5,"ELIQUIS: $2M, XARELTO: $1.1M, JARDIANCE: $0.1M",8,0.8693306554359052,30.0,0.11784494862483966,20.0,50.987175604060745,49.0,Medium
Adobe Home Health Care Inc,Farmington,16,16,100.0,14,14,100.0,38360.03,2740.002142857,12335.58,1037,15.714285714285712,7234863.26137,10072.0,5,"JARDIANCE: $2.1M, ELIQUIS: $1.9M, TRULICITY: $1.5M",10,0.6128567160731466,30.0,0.25810556199349344,20.0,50.87096227806664,50.0,Medium
Concerto Renal Services - Michigan,Livonia,21,21,100.0,16,16,100.0,50019.19,3126.199375,16532.24,1500,16.749999999999996,3224489.05166,4127.0,5,"JARDIANCE: $1.7M, OZEMPIC: $0.6M, TRULICITY: $0.6M",15,0.6992375125497903,30.0,0.11503445590524868,20.0,50.81427196845504,51.0,Medium
Interim Healthcare Hospice (FKA CLM Enterprises),Grand Rapids,463,455,98.27,13,10,76.92,345980.63,34598.063,341471.91,658,5.692307692307692,9343467.03722,12257.0,6,"ELIQUIS: $2.7M, TRULICITY: $2.6M, OZEMPIC: $1.8M",13,7.738554266444039,23.076,0.33333053072141766,19.653999999999996,50.80188479716546,52.0,Medium
Alliance Obstetrics and Gynecology,East Lansing,66,66,100.0,66,66,100.0,219744.73,3329.465606061,94402.06,4763,21.515151515151512,0.0,0.0,0,0,0,0.7447021028536203,30.0,0.0,20.0,50.74470210285362,53.0,Medium
Infusion Associates,Grand Rapids,26,25,96.15,17,17,100.0,106934.36,6290.256470588,84257.64,931,19.470588235294116,2696085.97629,662.0,5,"STELARA: $2.4M, ELIQUIS: $0.1M, XARELTO: $0.1M",15,1.4069426674983505,30.0,0.09618354362115966,19.23,50.73312621111951,54.0,Medium
Cancer & Leukemia Center PLLC,Sterling Heights,13,13,100.0,10,10,100.0,28659.85,2865.985,6108.03,1085,32.1,1476336.6406,2515.0,5,"ELIQUIS: $0.9M, XARELTO: $0.4M, OZEMPIC: $0.1M",10,0.6410353218130915,30.0,0.05266868004931624,20.0,50.69370400186241,55.0,Medium
Affinity Home Care,Saint Clair Shores,24,23,95.83,16,16,100.0,79174.42,4948.40125,34059.03,1375,17.5,6339112.21126,8746.0,6,"OZEMPIC: $1.7M, ELIQUIS: $1.6M, TRULICITY: $1.2M",15,1.1068096964059666,30.0,0.22614941854716608,19.165999999999997,50.49895911495313,56.0,Medium
Compassus Hospice - Grand Blanc (FKA Reverence Home Health & Hospice - Genesys Health System Hospice),Grand Blanc,26,26,100.0,10,10,100.0,14215.9,1421.59,3745.2,595,11.5,2837725.27324,4542.0,5,"ELIQUIS: $1.3M, XARELTO: $0.5M, JARDIANCE: $0.5M",10,0.31796726191388747,30.0,0.10123656107552415,20.0,50.41920382298942,57.0,Medium
Advanced Eyecare & Contact Lens Center (AKA David E Duryea OD PC),Chesaning,13,13,100.0,13,13,100.0,12671.29,974.714615385,2989.3,530,10.692307692307693,0.0,0.0,0,0,0,0.21801457340120317,30.0,0.0,20.0,50.218014573401206,58.0,Medium
Great Lakes Cancer Management Specialists,Grosse Pointe Woods,22,22,100.0,10,10,100.0,5995.23,599.523,2291.15,122,7.6000000000000005,1184298.62216,2163.0,2,"ELIQUIS: $0.7M, XARELTO: $0.5M",10,0.1340954049792131,30.0,0.042250150472483705,20.0,50.1763455554517,59.0,Medium
Lansing Pediatric Associates,Lansing,12,12,100.0,10,10,100.0,2313.41,231.341,470.78,123,6.800000000000001,0.0,0.0,0,0,0,0.05174407834778005,30.0,0.0,20.0,50.05174407834778,60.0,Medium
Ascension at Home Together With Compassus - Grand Blanc Home Health (FKA Genesys Health System Home Health),Grand Blanc,102,102,100.0,68,63,92.65,141581.37,2247.323333333,12415.53,6330,17.852941176470587,46827431.0194,59945.0,8,"TRULICITY: $11.4M, ELIQUIS: $10.4M, OZEMPIC: $10.4M",60,0.5026591682095995,27.795,1.6705803500818464,20.0,49.96823951829145,61.0,Medium
Covenant HealthCare,Saginaw,379,361,95.25,213,185,86.85,1357361.55,7337.089459459,593740.6,12443,10.399061032863846,88277511.32271,93139.0,8,"ELIQUIS: $23.9M, TRULICITY: $15.6M, OZEMPIC: $15.1M",118,1.641087968993467,26.055,3.1493223642516326,19.05,49.895410333245096,62.0,Medium
A&D Home Health Care - Saginaw,Saginaw,72,71,98.61,71,64,90.14,189223.5,2956.6171875,50689.49,4478,12.929577464788736,68241030.52374,85729.0,8,"OZEMPIC: $20M, TRULICITY: $18M, ELIQUIS: $16.8M",63,0.6613070376387804,27.041999999999998,2.434515884825412,19.722,49.85982292246419,63.0,Medium
A Choice Home Health Care,Troy,31,31,100.0,31,25,80.65,542465.21,21698.6084,492212.18,4183,16.354838709677416,22476366.645675,29974.0,7,"ELIQUIS: $6.2M, TRULICITY: $5.2M, JARDIANCE: $4.5M",31,4.853331199776082,24.195000000000004,0.8018500191467643,20.0,49.850181218922856,64.0,Medium
Atrio Home Care Lakeshore (FKA Resthaven Home Care),Holland,119,115,96.64,78,72,92.31,122382.49,1699.756805556,77921.57,1914,5.5,57282255.68554,80398.0,5,"TRULICITY: $21.1M, OZEMPIC: $10.3M, ELIQUIS: $10.1M",69,0.38018487565482123,27.693,2.043558843041853,19.328,49.44474371869667,65.0,Medium
City Medical Clinic PC,Madison Heights,11,10,90.91,10,10,100.0,28469.38,2846.938,6763.2,1577,25.0,3617239.95509,5069.0,6,"TRULICITY: $1.3M, OZEMPIC: $0.9M, ELIQUIS: $0.5M",10,0.636775076286833,30.0,0.12904594292180588,18.182000000000002,48.94782101920865,66.0,Medium
Heartland Home Health - West Branch (FKA ProMedica Home Health Serving Northern Michigan),West Branch,27,27,100.0,15,14,93.33,14601.51,1042.965,3161.98,843,11.933333333333332,19408637.8164,20559.0,6,"TRULICITY: $6.4M, OZEMPIC: $4.3M, ELIQUIS: $4M",15,0.2332801478077488,27.999000000000002,0.6924080235044404,20.0,48.92468817131219,67.0,Medium
Grand Rapids Ophthalmology,Grand Rapids,32,30,93.75,10,10,100.0,6564.41,656.441,2532.72,181,7.799999999999999,0.0,0.0,0,0,0,0.14682626311244043,30.0,0.0,18.75,48.896826263112445,68.0,Medium
Harbor Hospice,Muskegon,84,84,100.0,20,19,95.0,12519.07,658.898421053,3348.27,542,11.299999999999999,3771078.08772,4610.0,6,"ELIQUIS: $1.3M, TRULICITY: $0.8M, OZEMPIC: $0.5M",19,0.14737591487109938,28.5,0.1345341568996022,20.0,48.781910071770696,69.0,Medium
Munson Healthcare Home Health - Traverse City,Traverse City,506,494,97.63,16,15,93.75,64002.73,4266.848666667,30163.63,683,12.1875,4028938.97286,5002.0,6,"TRULICITY: $1.7M, OZEMPIC: $0.9M, JARDIANCE: $0.8M",14,0.954366721446428,28.125,0.1437334086713069,19.526,48.74910013011773,70.0,Medium
Henry Ford Health (FKA Henry Ford Health System),Detroit,4398,3606,81.99,1940,1199,61.8,7924380.22,6609.157814846,549673.26,29467,3.1706185567010303,344469600.315233,362231.0,8,"ELIQUIS: $78.9M, OZEMPIC: $69.4M, JARDIANCE: $52.8M",1293,1.4782713820042026,18.54,12.289039414713319,16.398,48.70531079671751,71.0,Medium
L O Eye Care,East Lansing,26,26,100.0,21,20,95.24,9879.22,493.961,2109.02,332,5.2857142857142865,0.0,0.0,0,0,0,0.11048433561170645,28.571999999999996,0.0,20.0,48.682484335611704,72.0,Medium
AdvisaCare Solutions of Northern Michigan - Home Health (AKA AdvisaCare Home Health - Charlevoix),Charlevoix,43,41,95.35,40,37,92.5,188944.54,5106.609189189,143981.54,1832,9.175,18609635.64308,22868.0,7,"TRULICITY: $5.6M, ELIQUIS: $4.4M, OZEMPIC: $3.8M",38,1.1421960913841005,27.75,0.6639034205107786,19.069999999999997,48.62609951189488,73.0,Medium
Answer Health (FKA Physicians Organization of West Michigan),Grand Rapids,1582,1096,69.28,932,791,84.87,10556730.48,13346.056232617,1496725.41,69432,12.460300429184551,176869918.74659,212013.0,8,"TRULICITY: $41.2M, ELIQUIS: $40.8M, XARELTO: $20.9M",519,2.9851145250276097,25.461,6.30987872591632,13.856,48.61199325094393,74.0,Medium
Marquette Internal Medicine & Pediatric Associates PC,Marquette,46,42,91.3,13,13,100.0,9873.61,759.508461538,2721.63,464,12.307692307692308,3430459.71695,4977.0,6,"ELIQUIS: $1.3M, XARELTO: $0.9M, OZEMPIC: $0.6M",13,0.1698793786645003,30.0,0.1223825110651443,18.259999999999998,48.55226188972964,75.0,Medium
Covenant HealthCare Visiting Nurse Association Saginaw - Home Care,Saginaw,109,109,100.0,23,21,91.3,29135.68,1387.413333333,6501.66,1520,12.82608695652174,18781962.63152,22625.0,6,"TRULICITY: $6.4M, OZEMPIC: $4.7M, JARDIANCE: $3.9M",21,0.31032296143241983,27.389999999999997,0.6700512290582382,20.0,48.37037419049065,76.0,Medium
Cascade Pediatrics,Grand Rapids,11,10,90.91,10,10,100.0,3689.61,368.961,828.94,202,11.100000000000001,0.0,0.0,0,0,0,0.08252556568561248,30.0,0.0,18.182000000000002,48.26452556568562,77.0,Medium
McLaren Home Care & Hospice - Home Care - Northern Michigan (FKA McLaren Homecare - Cheboygan),Cheboygan,198,198,100.0,39,35,89.74,43165.68,1233.305142857,15308.5,1192,8.743589743589743,23167473.26543,27732.0,8,"TRULICITY: $7.1M, ELIQUIS: $4.8M, JARDIANCE: $4.2M",35,0.2758535579024586,26.922,0.8265054211972394,20.0,48.0243589790997,78.0,Medium
Aspire Rural Health System Physicians (FKA Hills & Dales Healthcare Physicians),Cass City,39,36,92.31,30,28,93.33,147409.81,5264.636071429,85930.57,2110,13.799999999999999,9970744.48614,12607.0,7,"OZEMPIC: $2.9M, TRULICITY: $2.9M, ELIQUIS: $1.8M",24,1.1775419893255894,27.999000000000002,0.35570881108834795,18.462,47.99425080041394,79.0,Medium
Affiliated Home Health Care,Farmington Hills,40,40,100.0,28,25,89.29,67139.62,2685.5848,12982.65,2619,15.035714285714288,16394786.51563,23612.0,7,"ELIQUIS: $4.6M, TRULICITY: $4.6M, OZEMPIC: $2.8M",28,0.6006851803217209,26.787,0.5848881222087855,20.0,47.972573302530506,80.0,Medium
Emergency Care Specialists,Grand Rapids,225,184,81.78,104,98,94.23,1115405.15,11381.685204082,565019.57,7750,13.961538461538463,21607933.87672,25742.0,8,"TRULICITY: $4.7M, OZEMPIC: $4.7M, ELIQUIS: $4.2M",67,2.5457433439372528,28.269000000000002,0.7708684622344847,16.355999999999998,47.941611806171736,81.0,Medium
MSU Health Care Pharmacy,East Lansing,17,17,100.0,12,11,91.67,21222.01,1929.273636364,14106.19,315,8.666666666666666,0.0,0.0,0,0,0,0.4315209417886381,27.501,0.0,20.0,47.93252094178864,82.0,Medium
Trinity Health (FKA CHE Trinity Health),Livonia,1076,450,41.82,449,422,93.99,11728854.46,27793.493981043,5491989.45,57922,17.227171492204903,141820067.49796,194937.0,8,"ELIQUIS: $42.6M, JARDIANCE: $25.2M, OZEMPIC: $24.8M",277,6.216575229266072,28.197,5.0594664890162235,8.364,47.83704171828229,83.0,Medium
Bronson Battle Creek Hospital,Battle Creek,1002,835,83.33,458,377,82.31,2352768.1,6240.764190981,629764.9,19900,9.94759825327511,138187758.93961,175375.0,8,"OZEMPIC: $32M, TRULICITY: $28.6M, ELIQUIS: $26.2M",327,1.3958727214291502,24.693,4.929882969892578,16.665999999999997,47.684755691321726,84.0,Medium
