Facility_Name,City,total_providers,bcbsmi_providers,bcbsmi_coverage_pct,providers_analyzed,providers_with_payments,payment_penetration_pct,total_payments,avg_payment_per_provider,max_provider_payment,total_transactions,avg_manufacturers_per_provider,total_rx_cost,total_rx_count,unique_drugs,top_drugs,max_drug_prescribers,payment_intensity_score,payment_penetration_score,prescription_volume_score,provider_concentration_score,composite_risk_score,risk_rank,risk_category
McLaren Lapeer Region (FKA Lapeer Regional Medical Center),Lapeer,2915,2565,87.99,2565,2301,89.71,23975408.93,10419.560595393,2695647.23,211615,13.792202729044835,963517072.63808,1102740.0,8,"ELIQUIS: $261.5M, TRULICITY: $200.3M, OZEMPIC: $150.1M",1653,0.9682844506512277,26.912999999999997,9.723664005241151,17.598,55.202948455892376,19.0,Medium
Elara Caring Home Health - Jackson (FKA Great Lakes Caring Home Health - Jackson),Jackson,1579,1544,97.78,1544,1150,74.48,22147971.73,19259.105852174,4442860.9,116291,11.226036269430058,1110988323.84252,1424160.0,8,"TRULICITY: $321.7M, OZEMPIC: $243.8M, ELIQUIS: $225.2M",1354,1.7897388819209394,22.344,11.21192086945877,19.556,54.90165975137971,20.0,Medium
Corewell Health Grand Rapids Hospitals Surgery - 4069 Lake Dr SE (FKA Spectrum Health Hospitals - Surgery Center at 4069 Lake Dr),Grand Rapids,2627,2523,96.04,2523,2066,81.89,15982932.33,7736.172473379,1496725.41,115785,7.966706302021398,1013414576.69795,1143216.0,8,"TRULICITY: $255.3M, ELIQUIS: $232.8M, STELARA: $153.3M",1542,0.7189185613874151,24.567,10.227221833074866,19.208000000000002,54.72114039446228,21.0,Medium
UnaSource Surgery Center,Troy,99,73,73.74,73,72,98.63,7933742.48,110190.867777778,2711468.86,5580,10.136986301369863,0.0,0.0,0,0,0,10.239981129354288,29.589,0.0,14.748,54.57698112935429,22.0,Medium
Corewell Health Butterworth Hospital (FKA Spectrum Health Butterworth Hospital),Grand Rapids,6052,5110,84.43,5110,3937,77.05,27156538.67,6897.774617729,1496725.41,181376,6.594716242661448,1368406875.65074,1558217.0,8,"TRULICITY: $337.9M, ELIQUIS: $320.4M, STELARA: $205.5M",3014,0.6410066763656833,23.115,13.809748741512573,16.886000000000003,54.45175541787826,23.0,Medium
Residential Home Health - Lapeer (FKA Hometown Home Health & Hospice),Lapeer,852,842,98.83,842,720,85.51,12427256.46,17260.078416667,2711468.86,75212,13.927553444180525,718587907.6209,893875.0,8,"TRULICITY: $213.5M, ELIQUIS: $170.4M, OZEMPIC: $152.8M",783,1.6039702821315716,25.653000000000002,7.251877076556482,19.766,54.274847358688056,24.0,Medium
Prime Care Urgent Care,Novi,15,18,120.0,13,13,100.0,24032.51,1848.654615385,6274.86,825,15.384615384615385,3045349.17183,4236.0,7,"OZEMPIC: $1.2M, ELIQUIS: $0.5M, JARDIANCE: $0.3M",9,0.1717945303272557,30.0,0.030733188820866154,24.0,54.20252771914812,25.0,Medium
Beaumont Home Health Services,Troy,1261,1258,99.76,1258,1077,85.61,12531160.53,11635.246545961,1469209.11,111491,13.775039745627979,735827932.922525,965322.0,8,"ELIQUIS: $170.9M, TRULICITY: $170.3M, OZEMPIC: $149M",1133,1.0812575258623474,25.683,7.425860722757868,19.952,54.14211824862022,26.0,Medium
ABF Home Health Services,Mount Clemens,34,34,100.0,34,32,94.12,1972542.16,61641.9425,361633.12,2715,8.147058823529411,5725429.68022,7255.0,7,"TRULICITY: $2M, ELIQUIS: $1.2M, OZEMPIC: $1.1M",27,5.7283542702441395,28.236,0.057780143265822925,20.0,54.02213441350997,27.0,Medium
MiOrtho Surgery Center (FKA Fountain View Surgery Center),Southfield,41,28,68.29,28,28,100.0,3115111.25,111253.973214286,2711468.86,2115,9.321428571428571,0.0,0.0,0,0,0,10.338774975231878,30.0,0.0,13.658000000000001,53.99677497523188,28.0,Medium
Residential Home Health - Troy,Troy,1386,1375,99.21,1375,1062,77.24,20603626.63,19400.778370998,4317704.69,134849,13.708363636363643,901266756.709155,1173908.0,8,"TRULICITY: $215.6M, ELIQUIS: $215.2M, OZEMPIC: $199.5M",1253,1.8029044368218365,23.172,9.095443526847673,19.842,53.91234796366951,29.0,Medium
Lederman Kwartowitz Center for Orthopedics & Sports Medicine (FKA Ronald S Lederman MD PLLC),West Bloomfield,15,12,80.0,12,12,100.0,1007619.73,83968.310833333,945890.78,1218,16.5,0.0,0.0,0,0,0,7.80313228979295,30.0,0.0,16.0,53.80313228979295,30.0,Medium
Associated Dermatologists,West Bloomfield,11,11,100.0,11,11,100.0,424427.07,38584.279090909,287694.09,4220,31.545454545454547,1540081.1343,184.0,3,"STELARA: $1.5M, HUMIRA: $0M",8,3.585617372371097,30.0,0.015542258581617192,20.0,53.601159630952715,31.0,Medium
Michigan Heart Group,Troy,16,16,100.0,16,16,100.0,559213.42,34950.83875,191882.1,1720,15.125,29787330.38318,36140.0,5,"ELIQUIS: $19.3M, XARELTO: $9.2M, JARDIANCE: $1.2M",16,3.2479636150690236,30.0,0.3006090919241552,20.0,53.548572706993184,32.0,Medium
Motor City Orthopedics,Novi,11,11,100.0,11,11,100.0,416632.79,37875.708181818,142334.16,874,8.0,0.0,0.0,0,0,0,3.519770239262626,30.0,0.0,20.0,53.51977023926263,33.0,Medium
Renewcare Home Health (AKA Apollo Home Care),Warren,15,15,100.0,15,15,100.0,551501.3,36766.753333333,175499.44,1529,13.533333333333333,5612227.22308,7769.0,5,"TRULICITY: $1.6M, OZEMPIC: $1.6M, JARDIANCE: $1.1M",14,3.4167156309198243,30.0,0.05663772172597073,20.0,53.473353352645795,34.0,Medium
Advanced Physical Therapy (FKA Hands on Physical Therapy Inc),Berkley,586,556,94.88,556,496,89.21,26644861.73,53719.479294355,4442860.9,65452,14.658273381294965,210562404.94037,272927.0,8,"OZEMPIC: $53.5M, TRULICITY: $49.4M, JARDIANCE: $43.3M",416,4.992123806142386,26.762999999999998,2.1249629466033904,18.976,52.856086752745775,35.0,Medium
Premier Therapy Centers Inc,West Bloomfield,114,111,97.37,111,103,92.79,5789357.71,56207.356407767,2100657.79,15686,16.468468468468465,20019372.64665,26157.0,8,"TRULICITY: $4.6M, ELIQUIS: $4.4M, OZEMPIC: $4.2M",80,5.223320957115627,27.837000000000003,0.2020323860777706,19.474,52.7363533431934,36.0,Medium
Midwest Center for Dermatology & Cosmetic Surgery PLLC,Clinton Township,47,43,91.49,43,43,100.0,1960920.18,45602.794883721,1306626.96,12299,26.255813953488374,4645460.56262,646.0,6,"STELARA: $4.1M, ENBREL: $0.5M, HUMIRA: $0M",27,4.23784446454183,30.0,0.04688126338730966,18.298,52.582725727929144,37.0,Medium
Michigan Outpatient Vascular Institute,Dearborn,14,14,100.0,14,14,100.0,352780.02,25198.572857143,217645.6,4353,39.07142857142857,21267604.48973,30135.0,5,"ELIQUIS: $13.2M, XARELTO: $6.5M, JARDIANCE: $1.1M",14,2.3416905207079286,30.0,0.21462934713578383,20.0,52.55631986784371,38.0,Medium
Pulmonary Allergy Critical Care & Sleep Associates,Rochester Hills,21,20,95.24,20,20,100.0,747994.63,37399.7315,700541.76,2977,21.0,0.0,0.0,0,0,0,3.4755379690380344,30.0,0.0,19.048,52.52353796903803,39.0,Medium
DeVinney Czarnecki Physical Therapy PC,West Bloomfield,39,32,82.05,32,30,93.75,2549222.03,84974.067666667,2100657.79,4978,20.34375,5306969.16642,7506.0,6,"TRULICITY: $1.4M, JARDIANCE: $1.3M, ELIQUIS: $1.1M",23,7.89659675923364,28.125,0.05355710503307934,16.41,52.48515386426672,40.0,Medium
Hamilton Community Health Network Inc,Flint,53,67,126.42,46,41,89.13,93561.59,2281.99,29492.96,1431,9.304347826086957,24338469.29727,30180.0,7,"TRULICITY: $9.6M, JARDIANCE: $5.3M, ELIQUIS: $3.9M",29,0.21206416655598456,26.739,0.24562003577224212,25.284,52.48068420232822,41.0,Medium
Ain Imaging PLC,Farmington Hills,17,17,100.0,17,17,100.0,443224.94,26072.055294118,170142.4,5232,27.352941176470587,3160311.79536,4196.0,5,"ELIQUIS: $2.3M, XARELTO: $0.7M, JARDIANCE: $0.1M",7,2.4228627979739956,30.0,0.03189337368537103,20.0,52.45475617165937,42.0,Medium
Thibodeau Physical Therapy,Imlay City,178,171,96.07,171,161,94.15,7210362.19,44784.858322981,3904492.44,15447,14.116959064327483,76171859.19209,92544.0,8,"TRULICITY: $18.8M, OZEMPIC: $17.2M, ELIQUIS: $14.9M",115,4.161834037217874,28.245,0.7687145214879199,19.214,52.3895485587058,43.0,Medium
Heart Cardiology Consultants,Southfield,13,13,100.0,13,13,100.0,283034.41,21771.877692308,135683.64,1303,17.53846153846154,18845434.80707,24500.0,5,"ELIQUIS: $11M, XARELTO: $7M, JARDIANCE: $0.8M",13,2.0232494871485542,30.0,0.19018518851451333,20.0,52.213434675663066,44.0,Medium
Henry Ford Jackson Hospital (FKA Henry Ford Allegiance Health),Jackson,6206,4960,79.92,4960,3583,72.24,41394800.43,11553.112037399,3035309.96,212338,7.203225806451609,1333273030.112883,1484587.0,8,"ELIQUIS: $328.6M, OZEMPIC: $236M, TRULICITY: $212M",3362,1.0736248078821258,21.671999999999997,13.455183452610333,15.984,52.18480826049246,45.0,Medium
Premier Medical Cardiology Clinics and Premier Imaging Center (FKA Premier Medical Clinics PC),Flint,11,11,100.0,11,11,100.0,213259.18,19387.198181818,171542.8,2587,29.0,15293960.50337,20124.0,6,"ELIQUIS: $6.6M, XARELTO: $2.8M, TRULICITY: $2.5M",11,1.8016424367691943,30.0,0.15434426380948935,20.0,51.95598670057868,46.0,Medium
Associated Retinal Consultants PC,Southgate,27,25,92.59,25,23,92.0,1415946.57,61562.894347826,485178.74,2037,12.72,0.0,0.0,0,0,0,5.721008365788568,27.6,0.0,18.518,51.83900836578857,47.0,Medium
Detroit Community Health Connection,Detroit,20,23,115.0,19,18,94.74,71332.13,3962.896111111,31936.05,1501,10.631578947368421,3731045.62234,5863.0,5,"TRULICITY: $1M, ELIQUIS: $1M, JARDIANCE: $0.9M",10,0.3682699139569879,28.421999999999997,0.03765313044275184,23.0,51.82792304439974,48.0,Medium
DaVita Bay City Dialysis,Bay City,10,10,100.0,10,10,100.0,193355.21,19335.521,136141.48,623,9.4,1865342.85966,1816.0,5,"JARDIANCE: $0.7M, OZEMPIC: $0.5M, TRULICITY: $0.4M",8,1.7968401026256633,30.0,0.01882474917880629,20.0,51.81566485180447,49.0,Medium
Vascular & Endovascular Associates PLC,Troy,13,13,100.0,13,13,100.0,243526.64,18732.818461538,173377.19,1641,25.692307692307693,3413784.63149,5375.0,5,"ELIQUIS: $1.4M, TRULICITY: $1.2M, XARELTO: $0.5M",10,1.740831263191608,30.0,0.034451382010262925,20.0,51.77528264520187,50.0,Medium
Novi Surgery Center (AKA Associates in Obstetrics & Gynecology PC),Novi,41,41,100.0,41,40,97.56,1024044.75,25601.11875,437088.2,3677,17.463414634146343,0.0,0.0,0,0,0,2.3790989051746676,29.268,0.0,20.0,51.64709890517467,51.0,Medium
Dermatology Specialists,Shelby Township,28,28,100.0,28,28,100.0,486621.37,17379.334642857,299553.46,4148,22.392857142857142,3073588.5337,598.0,8,"STELARA: $2.4M, ENBREL: $0.5M, HUMIRA: $0.1M",16,1.6150527023935335,30.0,0.03101817605601133,20.0,51.64607087844955,52.0,Medium
Great Lakes Cancer Management Specialists,Grosse Pointe Woods,22,22,100.0,22,22,100.0,376943.16,17133.78,231897.52,564,9.0,5179115.6752,10241.0,3,"ELIQUIS: $3.5M, XARELTO: $1.7M",21,1.5922334347011151,30.0,0.05226682754259703,20.0,51.64450026224371,53.0,Medium
DMC Rehabilitation Institute of Michigan - Detroit,Detroit,483,462,95.65,462,415,89.83,18164303.01,43769.404843373,3904492.44,43505,12.45670995670996,138695105.9357,187177.0,8,"TRULICITY: $35.8M, JARDIANCE: $33.5M, ELIQUIS: $27.5M",314,4.067468463385628,26.948999999999998,1.399689375090762,19.13,51.54615783847639,54.0,Medium
Cardiovascular Consultants PC,Sterling Heights,10,10,100.0,10,10,100.0,152390.46,15239.046,82658.6,2554,32.0,9384451.56088,10910.0,5,"ELIQUIS: $4.9M, XARELTO: $3.1M, JARDIANCE: $0.8M",10,1.4161567706687193,30.0,0.09470642134198502,20.0,51.5108631920107,55.0,Medium
Health Delivery Shiawassee Community Health Center,Owosso,11,11,100.0,11,11,100.0,167747.87,15249.806363636,161486.04,590,12.636363636363637,8972806.4756,9937.0,6,"TRULICITY: $4.8M, JARDIANCE: $1.5M, OZEMPIC: $1.2M",10,1.4171567257720754,30.0,0.09055216335077756,20.0,51.50770888912285,56.0,Medium
Eastlake Cardiovascular,Saint Clair Shores,21,21,100.0,21,21,100.0,254038.83,12097.087142857,83974.67,2668,21.476190476190478,31757353.74859,38561.0,5,"ELIQUIS: $22.7M, XARELTO: $7.2M, JARDIANCE: $1.3M",20,1.1241761369265801,30.0,0.32049026043866125,20.0,51.44466639736524,57.0,Medium
County of Washtenaw Community Mental Health,Ypsilanti,22,19,86.36,19,19,100.0,851974.26,44840.750526316,839699.91,1615,7.63157894736842,0.0,0.0,0,0,0,4.1670280711607095,30.0,0.0,17.272000000000002,51.439028071160706,58.0,Medium
GI Medicine Associates PC,Saint Clair Shores,13,13,100.0,13,13,100.0,168187.3,12937.484615385,110042.33,3119,26.23076923076923,18341211.87876,1436.0,5,"STELARA: $18.3M, ELIQUIS: $0M, XARELTO: $0M",8,1.2022738453246915,30.0,0.18509664937197248,20.0,51.38737049469666,59.0,Medium
Mackinaw Surgery Center,Saginaw,45,44,97.78,44,44,100.0,763908.89,17361.565681818,593740.6,2484,11.704545454545453,16546772.62528,2862.0,7,"STELARA: $15.2M, OZEMPIC: $0.5M, ELIQUIS: $0.3M",18,1.6134014419089122,30.0,0.16698744832701148,19.556,51.336388890235924,60.0,Medium
DaVita Bloomfield Hills Home at Home,Bloomfield Hills,14,14,100.0,14,14,100.0,197646.23,14117.587857143,85404.93,1849,17.285714285714285,2322762.97246,2928.0,5,"JARDIANCE: $1.9M, ELIQUIS: $0.2M, TRULICITY: $0.1M",13,1.3119402375584113,30.0,0.02344096160764138,20.0,51.33538119916605,61.0,Medium
McLaren Homecare - Sterling Heights (FKA McLaren Visiting Nurse & Hospice),Clinton Township,383,383,100.0,383,350,91.38,4855523.86,13872.925314286,608617.5,43353,16.663185378590082,259603907.88474,342477.0,8,"TRULICITY: $67.5M, OZEMPIC: $57.7M, ELIQUIS: $57.6M",328,1.289203872263893,27.413999999999998,2.619882144700693,20.0,51.32308601696458,62.0,Medium
Cardiology and Vascular Associates PC,Bloomfield Hills,13,13,100.0,13,13,100.0,145672.23,11205.556153846,83609.37,2476,24.076923076923077,23564069.1476,30525.0,5,"ELIQUIS: $16.2M, XARELTO: $6.6M, JARDIANCE: $0.8M",13,1.0413266169271715,30.0,0.23780491025466033,20.0,51.27913152718183,63.0,Medium
Red Cedar Surgery Center,Haslett,29,28,96.55,28,28,100.0,591866.35,21138.083928571,188619.13,1412,11.285714285714286,0.0,0.0,0,0,0,1.9643513560107015,30.0,0.0,19.310000000000002,51.274351356010705,64.0,Medium
Dermatology Associates of West Michigan,Grand Rapids,17,17,100.0,17,17,100.0,194534.55,11443.208823529,139203.09,2180,20.823529411764707,7223307.11,1221.0,4,"STELARA: $6.9M, HUMIRA: $0.2M, ENBREL: $0.1M",7,1.0634115582836763,30.0,0.07289648864446452,20.0,51.136308046928136,65.0,Medium
Consultants in Sleep & Pulmonary Medicine PLLC,Farmington Hills,15,14,93.33,14,14,100.0,368318.8,26308.485714286,300325.61,3048,24.21428571428571,0.0,0.0,0,0,0,2.4448341563065954,30.0,0.0,18.666,51.110834156306595,66.0,Medium
DaVita Starrwood Home Training,Royal Oak,10,10,100.0,10,10,100.0,117317.45,11731.745,85404.93,1788,23.1,1125300.81915,1463.0,5,"JARDIANCE: $0.8M, ELIQUIS: $0.2M, XARELTO: $0M",9,1.0902250779680627,30.0,0.011356360339602755,20.0,51.10158143830767,67.0,Medium
Diversified Physical Therapy,Frankenmuth,85,75,88.24,75,65,86.67,4840378.72,74467.364923077,3904492.44,4720,10.76,49497880.31303,58862.0,8,"OZEMPIC: $14.4M, TRULICITY: $11.3M, ELIQUIS: $10.2M",63,6.920214233205528,26.001,0.4995248873149261,17.648,51.06873912052046,68.0,Medium
West Michigan Dermatology,Holland,20,18,90.0,18,18,100.0,585681.46,32537.858888889,500116.9,5454,27.055555555555557,3553601.1168,643.0,4,"STELARA: $2.9M, ENBREL: $0.6M, HUMIRA: $0.1M",14,3.0237266275437142,30.0,0.03586238817108353,18.0,51.0595890157148,69.0,Medium
Corewell Health Taylor Hospital (AKA Beaumont Hospital - Taylor),Taylor,1572,1447,92.05,1447,1257,86.87,21045741.28,16742.833158313,2711468.86,129134,13.707671043538358,497223866.25311,636984.0,8,"ELIQUIS: $113.7M, TRULICITY: $111.9M, JARDIANCE: $96.8M",1003,1.5559029441424148,26.061,5.017905699994053,18.41,51.04480864413647,70.0,Medium
Munson Healthcare Home Health - Traverse City,Traverse City,506,494,97.63,494,460,93.12,3118980.32,6780.392,872287.66,25822,11.425101214574896,285622329.87864,345064.0,8,"TRULICITY: $86.8M, ELIQUIS: $71.1M, JARDIANCE: $49.7M",424,0.6300983695821916,27.936,2.882456001044067,19.526,50.97455437062626,71.0,Medium
Michigan CardioVascular Institute,Saginaw,11,11,100.0,11,10,90.91,377937.89,37793.789,221119.22,1059,11.181818181818182,17562121.79397,21425.0,5,"ELIQUIS: $14.1M, XARELTO: $2.7M, JARDIANCE: $0.7M",11,3.5121575314868765,27.273,0.1772341937607076,20.0,50.962391725247585,72.0,Medium
Cardiology Associates of Michigan PC,Shelby Township,10,10,100.0,10,10,100.0,81607.95,8160.795,11568.73,3161,36.2,13772199.12329,17046.0,5,"ELIQUIS: $7.5M, XARELTO: $5.6M, JARDIANCE: $0.7M",10,0.7583785161675758,30.0,0.13898688532989892,20.0,50.897365401497474,73.0,Medium
Henry Ford Rochester Hospital (FKA Ascension Providence Rochester Hospital),Rochester,1504,1281,85.17,1281,1146,89.46,27206596.88,23740.485933682,4882592.56,120149,14.166276346604219,475732245.86814,569299.0,8,"ELIQUIS: $116.6M, OZEMPIC: $106M, TRULICITY: $89.1M",786,2.2061912467453184,26.837999999999997,4.801015619386072,17.034,50.87920686613139,74.0,Medium
Cardiovascular Institute of Michigan,Roseville,12,12,100.0,12,12,100.0,95475.27,7956.2725,54752.62,1895,24.333333333333336,12251989.14288,15983.0,5,"ELIQUIS: $7.2M, XARELTO: $4.1M, JARDIANCE: $0.9M",12,0.7393723445785476,30.0,0.12364516333378693,20.0,50.86301750791233,75.0,Medium
Bay Street Orthopaedics,Petoskey,15,13,86.67,13,13,100.0,493184.5,37937.269230769,446228.95,573,8.461538461538462,0.0,0.0,0,0,0,3.5254910761366296,30.0,0.0,17.334,50.859491076136635,76.0,Medium
Spectrum Health Medical Group - X-Ray at 4100 Lake Dr (FKA Spectrum Health Primary Care Partners),Grand Rapids,41,41,100.0,41,40,97.56,611812.86,15295.3215,556054.8,1430,7.341463414634147,14312649.3254,19887.0,7,"TRULICITY: $5.2M, ELIQUIS: $3.3M, OZEMPIC: $2.4M",32,1.421386424175098,29.268,0.14444102446880785,20.0,50.8338274486439,77.0,Medium
Henry Ford St John Hospital (FKA Ascension St John Hospital),Detroit,2626,2321,88.39,2321,1899,81.82,25038081.3,13184.876935229,3904492.44,156947,11.078414476518741,730842926.068335,912163.0,8,"ELIQUIS: $191.6M, TRULICITY: $148.3M, OZEMPIC: $138.3M",1458,1.2252638874020316,24.546,7.37555281115932,17.678,50.82481669856135,78.0,Medium
Custom Home Health,Troy,264,262,99.24,262,233,88.93,6724164.26,28859.074077253,2100657.79,30858,17.36641221374046,159609865.61559,212157.0,8,"ELIQUIS: $41.6M, OZEMPIC: $35.9M, TRULICITY: $32.3M",239,2.6818590317092004,26.679000000000002,1.6107578674432634,19.848,50.819616899152464,79.0,Medium
Corewell Health Gerber Hospital (FKA Spectrum Health Gerber Memorial),Fremont,1446,1318,91.15,1318,1145,86.87,12249020.26,10697.83428821,991385.24,69426,9.00151745068285,547159742.11504,570209.0,8,"ELIQUIS: $148M, TRULICITY: $106.7M, STELARA: $101.7M",853,0.9941442829649948,26.061,5.521850770068828,18.23,50.80699505303383,80.0,Medium
DaVita Oak Park Dialysis,Oak Park,12,12,100.0,12,12,100.0,96728.8,8060.733333333,70463.19,1235,17.916666666666668,1104473.99695,1369.0,5,"JARDIANCE: $0.6M, ELIQUIS: $0.3M, TRULICITY: $0.1M",11,0.7490798365300926,30.0,0.011146179298580593,20.0,50.76022601582868,81.0,Medium
CorsoCare Home Health (FKA Michigan Premier Home Care and Hospice),Milford,23,23,100.0,23,23,100.0,148262.03,6446.175217391,47479.42,2083,16.304347826086957,14733666.46129,19488.0,7,"ELIQUIS: $6.1M, XARELTO: $4M, TRULICITY: $2M",20,0.5990397744730982,30.0,0.14868986373289536,20.0,50.747729638205996,82.0,Medium
Allergy and Asthma Associates of MI PC,Royal Oak,11,11,100.0,11,11,100.0,88093.08,8008.461818182,31637.65,3393,28.363636363636363,0.0,0.0,0,0,0,0.7442222712931216,30.0,0.0,20.0,50.744222271293125,83.0,Medium
Great Lakes Physiatrists PC,Saint Clair Shores,13,13,100.0,13,13,100.0,103966.97,7997.459230769,99073.2,243,5.153846153846153,0.0,0.0,0,0,0,0.7431998064577381,30.0,0.0,20.0,50.74319980645774,84.0,Medium
