AFFILIATED_NAME,total_amount,avg_provider_payment,max_single_payment,provider_count,transaction_count,payment_concentration,transaction_intensity,amount_score,concentration_score,intensity_score,risk_score,risk_category
Retinal Ambulatory Surgery Center of New York,810.67,810.67,125.0,1,44,810.67,44.0,0.005132077975773653,0.007698116963660481,12.177121771217712,12.189951966157146,Low
Huron Ophthalmology,60335.69,20111.9,5500.0,3,125,20111.896666666667,41.666666666666664,0.3819648757226821,0.19098243786134106,11.531365313653135,12.104312627237158,Low
Kingsbridge Eye Center (AKA Kingsbridge Optometric Eye Care PC),1397.95,698.98,32.24,2,87,698.975,43.5,0.008849949308883737,0.006637461981662804,12.038745387453874,12.05423279874442,Low
Eldred Eye Center of Cheyenne (FKA Advanced Eye Clinic Pc),24370.99,24370.99,5890.0,1,42,24370.99,42.0,0.15428450667571264,0.231426760013569,11.623616236162361,12.009327502851642,Low
The Eye Doctors,22478.94,22478.94,4370.0,1,42,22478.94,42.0,0.14230657714327338,0.21345986571491007,11.623616236162361,11.979382679020544,Low
Puente Hills Eye Care Center Inc,1988.38,662.79,94.35,3,116,662.7933333333334,38.666666666666664,0.012587762228118493,0.006293881114059248,10.701107011070109,10.719988654412287,Low
CorrectVision Laser Institute,61052.64,20350.88,6500.0,3,107,20350.88,35.666666666666664,0.3865036440312798,0.19325182201563992,9.870848708487085,10.450604174534003,Low
NVISION Eye Centers - Pacific Hills Surgery Center,71709.39,35854.7,26318.93,2,69,35854.695,34.5,0.4539679290897203,0.3404759468172902,9.547970479704796,10.342414355611806,Low
Holy Name Medical Center (AKA Holy Name Health),1180.1,393.37,20.21,3,111,393.3666666666666,37.0,0.007470814535150541,0.00373540726757527,10.239852398523984,10.25105862032671,Low
Ritz & Johnson Fashion Eyecare Center,10675.22,10675.22,2755.0,1,36,10675.22,36.0,0.06758121239041585,0.10137181858562379,9.96309963099631,10.132052661972349,Low
One Brooklyn Health System,1216.43,1216.43,175.08,1,36,1216.43,36.0,0.007700807495121747,0.011551211242682621,9.96309963099631,9.982351649734113,Low
PA Terraciano MD PC,566.81,566.81,24.0,1,36,566.81,36.0,0.0035882826766110315,0.005382424014916547,9.96309963099631,9.972070337687837,Low
Pisacano Eye Surgery and Laser Specialists (AKA Michael A Pisacano MD PC),4185.5,697.58,125.0,6,212,697.5833333333334,35.333333333333336,0.02649698689676518,0.006624246724191296,9.77859778597786,9.811719019598817,Low
Sacramento Eye Consultants (AKA Grutzmacher & Lewis A Medical Corporation),56504.5,28252.25,8050.0,2,66,28252.25,33.0,0.35771090577189535,0.26828317932892154,9.132841328413283,9.7588354135141,Low
Heritage Valley Eye Care Optometric Center,23797.33,11898.66,4370.0,2,65,11898.665,32.5,0.1506528589626083,0.11298964422195622,8.994464944649446,9.25810744783401,Low
Juliette Eye Institute (FKA TLC Albuquerque LASIK),34296.49,34296.49,7905.0,1,31,34296.49,31.0,0.21711949495521157,0.3256792424328174,8.579335793357934,9.122134530745964,Low
Valley Eye Professionals LLC,60309.86,60309.86,9681.0,1,28,60309.86,28.0,0.3818013547164598,0.5727020320746897,7.749077490774908,8.703580877566058,Low
Elevated Eyecare (AKA East Lake Eye Care),2188.03,2188.03,695.2,1,31,2188.03,31.0,0.013851678948686925,0.020777518423030387,8.579335793357934,8.613964990729652,Low
Alabama Eye Physicians & Surgeons PC,542.92,542.92,27.05,1,31,542.92,31.0,0.003437043155176622,0.0051555647327649326,8.579335793357934,8.587928401245875,Low
Maloney-Shamie Vision Institute (AKA Robert K Maloney MD Inc),59709.3,29854.65,10000.0,2,57,29854.65,28.5,0.377999412188513,0.28349955914138475,7.887453874538745,8.548952845868643,Low
Eye Surgeons & Consultants PA,944.22,472.11,28.39,2,60,472.11,30.0,0.005977537920837085,0.004483153440627814,8.302583025830257,8.313043717191722,Low
Garden Grove Hospital Medical Center,616.81,616.81,88.0,1,30,616.81,30.0,0.0039048157897010466,0.00585722368455157,8.302583025830257,8.31234506530451,Low
Specs Eyecare - Middletown (FKA Eudenbach & Rispoli Inc),39636.29,13212.1,3040.0,3,86,13212.096666666666,28.666666666666668,0.2509239653007729,0.1254619826503864,7.9335793357933575,8.309965283744518,Low
Urban Optics PLLC,11450.82,11450.82,3800.0,1,29,11450.82,29.0,0.07249127404066819,0.10873691106100228,8.025830258302582,8.207058443404252,Low
OneCore Health (FKA Orthopedic Hospital),8066.77,8066.77,2715.0,1,29,8066.77,29.0,0.051067996413622856,0.07660199462043428,8.025830258302582,8.15350024933664,Low
Hopewell Eyecare (FKA Vernon Peryea Optometrist LLC),518.01,518.01,124.96,1,29,518.01,29.0,0.0032793463582351766,0.004919019537352765,8.025830258302582,8.03402862419817,Low
Chester County Hospital,15755.85,15755.85,4900.0,1,28,15755.85,28.0,0.09974496499758635,0.14961744749637954,7.749077490774908,7.998439903268873,Low
California Eye Center Optometry Inc,1042.11,521.05,30.01,2,57,521.055,28.5,0.006597246449644717,0.004947934837233538,7.887453874538745,7.898999055825623,Low
Ophthalmic Physicians Inc,725030.92,120838.49,722646.38,6,44,120838.48666666668,7.333333333333333,4.589925883882357,1.1474814709705894,2.029520295202952,7.766927650055898,Low
The Dry Eye Treatment Center (AKA Jacqueline W Muller MD PC),572.69,572.69,34.02,1,28,572.69,28.0,0.003625506970710418,0.0054382604560656266,7.749077490774908,7.758141258201683,Low
CHI St Lukes Health - Baylor St Lukes Medical Center,137193.19,27438.64,11900.0,5,119,27438.638,23.8,0.8685237505089992,0.26055712515269974,6.586715867158672,7.715796742820371,Low
Duke Raleigh Hospital,117329.72,29332.43,10500.0,4,95,29332.43,23.75,0.7427748305915967,0.27854056147184875,6.572878228782288,7.594193620845733,Low
Asheville Vision Associates PA,14761.6,7380.8,2755.0,2,53,7380.8,26.5,0.0934507040437914,0.07008802803284354,7.333948339483395,7.4974870715600295,Low
Surgical Specialty Center of Westchester,2659.25,664.81,146.99,4,108,664.8125,27.0,0.016834813619692465,0.006313055107384674,7.472324723247232,7.495472591974309,Low
Advanced Eyecare Center PC,952.54,952.54,302.88,1,27,952.54,27.0,0.0060302090308552644,0.009045313546282897,7.472324723247232,7.487400245824371,Low
Bolsa Outpatient Surgery Center,406.98,406.98,27.0,1,27,406.98,27.0,0.0025764529273074885,0.0038646793909612328,7.472324723247232,7.478765855565501,Low
Clearview Opthalmology PC,293584.77,293584.77,50000.0,1,10,293584.77,10.0,1.8585860240783227,2.7878790361174843,2.7675276752767526,7.41399273547256,Low
Dr Elliott Shapiro Family Optometry Inc,8126.01,8126.01,1365.0,1,26,8126.01,26.0,0.0514430248460119,0.07716453726901785,7.195571955719557,7.324179517834587,Low
Lifetime Eyecare Associates,49951.72,12487.93,6510.0,4,99,12487.93,24.75,0.3162274687160156,0.11858530076850586,6.849630996309963,7.284443765794484,Low
Cherry Creek Eye Physicians and Surgeons PC,594.89,594.89,121.6,1,26,594.89,26.0,0.0037660476729223843,0.005649071509383576,7.195571955719557,7.2049870749018625,Low
IU Health Spring Mill Surgery Center,580.29,580.29,117.7,1,26,580.29,26.0,0.0036736200039000997,0.0055104300058501495,7.195571955719557,7.204756005729307,Low
Drs Farkas Kassalow Resnick & Associates PC,29848.49,9949.5,7200.0,3,75,9949.496666666668,25.0,0.18896070921472383,0.09448035460736193,6.918819188191882,7.202260252013968,Low
Foothills Surgery Center,221.23,221.23,23.76,1,26,221.23,26.0,0.0014005324121780815,0.0021007986182671225,7.195571955719557,7.199073286750002,Low
Massengale Eye Care,159.24,159.24,22.45,1,26,159.24,26.0,0.0010080946585690807,0.0015121419878536212,7.195571955719557,7.19809219236598,Low
Center for Excellence In Eyecare PA,23033.82,1535.59,3000.0,15,376,1535.588,25.066666666666666,0.14581933501910113,0.014581933501910112,6.937269372693726,7.097670641214737,Low
Eyesight Medical Center (AKA Russell G Knapp Jr MD PC),593.83,593.83,124.99,1,25,593.83,25.0,0.003759337170924876,0.005639005756387314,6.918819188191882,6.928217531119194,Low
Northwestern Medicine Regional Medical Group,509.31,509.31,25.0,1,25,509.31,25.0,0.003224269596557514,0.004836404394836271,6.918819188191882,6.9268798621832754,Low
Mary Minah Cheng,468.59,468.59,25.0,1,25,468.59,25.0,0.0029664850292570053,0.004449727543885508,6.918819188191882,6.926235400765024,Low
Panhandle Eye Group,437.48,437.48,24.34,1,25,437.48,25.0,0.002769538126292398,0.004154307189438597,6.918819188191882,6.9257430335076124,Low
BeSpoke Vision,8559.52,4279.76,1800.0,2,49,4279.76,24.5,0.05418743024312496,0.040640572682343716,6.780442804428044,6.8752708073535125,Low
North East Medical Services Service Site,799.54,399.77,124.92,2,48,399.77,24.0,0.005061617704799817,0.0037962132785998625,6.642066420664206,6.650924251647606,Low
Eye Surgery Center of San Francisco,37191.14,18595.57,9681.0,2,44,18595.57,22.0,0.23544454647133184,0.17658340985349888,6.088560885608856,6.500588841933687,Low
Center for Sight LLC (FKA Midwest Center for Sight LLC),1141.53,380.51,145.45,3,70,380.51,23.333333333333332,0.007226640891712904,0.0036133204458564517,6.457564575645756,6.468404536983325,Low
Ophthalmology Associates,30265.09,10088.36,5600.0,3,67,10088.363333333333,22.333333333333332,0.19159806311298985,0.09579903155649491,6.180811808118081,6.468208902787566,Low
EyeCare Consultants of NJ PA (AKA Brar Parekh Eye Associates MD PA),769.06,769.06,500.0,1,23,769.06,23.0,0.004868659119060143,0.007302988678590214,6.365313653136531,6.377485300934182,Low
Steven G Peterson OD,298.41,298.41,32.71,1,23,298.41,23.0,0.0018891329255438295,0.0028336993883157444,6.365313653136531,6.370036485450391,Low
Harvard Park Surgery Center,207.29,207.29,24.06,1,23,207.29,23.0,0.0013122829802485853,0.001968424470372878,6.365313653136531,6.368594360587153,Low
Music City Eye Care,11755.11,11755.11,2375.0,1,22,11755.11,22.0,0.0744176312603114,0.11162644689046711,6.088560885608856,6.274604963759634,Low
QC Family Eye Care PLLC,10559.43,10559.43,2375.0,1,22,10559.43,22.0,0.06684818500712202,0.10027227751068302,6.088560885608856,6.255681348126661,Low
Vance Thompson Vision,430175.69,22640.83,50000.0,19,218,22640.825789473685,11.473684210526315,2.7232970066269075,0.2149971321021243,3.1753738590017475,6.113667997730779,Low
Glaucoma Center of Texas (AKA Arvind Neelakantan Md Pa),11216.93,3738.98,4020.0,3,65,3738.976666666667,21.666666666666668,0.07101059544425571,0.035505297722127856,5.996309963099631,6.102825856266015,Low
Providence Health & Services - Southern California (FKA Providence Health & Services - California),1430.35,476.78,119.23,3,66,476.7833333333333,22.0,0.009055062766166067,0.004527531383083034,6.088560885608856,6.102143479758105,Low
Envision Eye & Laser Center PA,674.34,674.34,94.25,1,22,674.34,22.0,0.004269018789622419,0.0064035281844336284,6.088560885608856,6.099233432582912,Low
Ellis Hospital,602.67,602.67,126.56,1,22,602.67,22.0,0.00381530022531919,0.005722950337978786,6.088560885608856,6.098099136172154,Low
Gulf South Eye Associates,652.36,217.45,18.42,3,66,217.45333333333335,22.0,0.004129870833108048,0.002064935416554024,6.088560885608856,6.094755691858518,Low
Larissa Camejo MD PA,9504.84,9504.84,4020.0,1,21,9504.84,21.0,0.06017193189245002,0.09025789783867504,5.8118081180811805,5.962237947812305,Low
Muir Eye Care,828.15,414.08,134.07,2,43,414.075,21.5,0.005242737952109923,0.003932053464082442,5.950184501845018,5.95935929326121,Low
The Eye Institute of West Florida,63486.38,9069.48,2925.0,7,138,9069.482857142857,19.714285714285715,0.4019108300043137,0.08612374928663866,5.455983131259884,5.9440177105508365,Low
Hopkins Howard County Medical Center (FKA Howard County General Hospital),345069.51,172534.76,154045.56,2,15,172534.755,7.5,2.1845185246549232,1.6383888934911925,2.0756457564575643,5.898553174603681,Low
Marcia Dunn MD PC,445.77,445.77,32.79,1,21,445.77,21.0,0.0028220193164427225,0.004233028974664084,5.8118081180811805,5.818863166372287,Low
Arrowhead Regional Medical Center,525.54,262.77,26.91,2,42,262.77,21.0,0.003327016245066533,0.0024952621837998996,5.8118081180811805,5.817630396510047,Low
Pacific Renal Associates,359.9,359.9,25.92,1,21,359.9,21.0,0.00227840534802193,0.003417608022032895,5.8118081180811805,5.817504131451235,Low
I to Eye Inc,346.67,173.33,17.0,2,42,173.335,21.0,0.0021946506862983123,0.001645988014723734,5.8118081180811805,5.815648756782203,Low
Triangle Eye Institute,186.48,186.48,23.29,1,21,186.48,21.0,0.001180541898580521,0.0017708128478707817,5.8118081180811805,5.814759472827632,Low
The Eye Centers of Racine and Kenosha LLC,92077.85,18415.57,9000.0,5,90,18415.57,18.0,0.5829137701427094,0.1748741310428128,4.981549815498155,5.739337716683677,Low
George H Garcia MD (AKA Ophthalmology Institute of Orange County),1397.14,465.71,36.94,3,62,465.71333333333337,20.666666666666668,0.00884482147245168,0.00442241073622584,5.719557195571956,5.732824427780633,Low
Touro Infirmary,908.44,302.81,53.84,3,62,302.81333333333333,20.666666666666668,0.00575102682510987,0.002875513412554935,5.719557195571956,5.728183735809621,Low
Abington Jefferson Health Physicians,28783.01,14391.5,8450.0,2,39,14391.505,19.5,0.18221551518802084,0.13666163639101564,5.3966789667896675,5.7155561183687045,Low
Edmond Regional Eye Associates Inc,427.73,213.86,32.0,2,41,213.865,20.5,0.0027078141692398455,0.002030860626929884,5.673431734317343,5.678170409113513,Low
Piedmont Eye Surgical and Laser Center PLLC,8344.07,8344.07,2250.0,1,20,8344.07,20.0,0.05282348905882008,0.07923523358823012,5.535055350553505,5.667114073200556,Low
Dr Cotliar Eyecare & Surgery,2445.34,489.07,600.0,5,100,489.06800000000004,20.0,0.015480621655270761,0.004644186496581229,5.535055350553505,5.555180158705357,Low
Erika Duggan OD PC (AKA Envison Eyecare),1243.14,1243.14,570.0,1,20,1243.14,20.0,0.007869899484134434,0.01180484922620165,5.535055350553505,5.554730099263841,Low
Memorial Hermann Surgery Center - Kirby Glen,16858.78,16858.78,3500.0,1,19,16858.78,19.0,0.10672724232599376,0.16009086348899063,5.25830258302583,5.525120688840814,Low
Medical Center Clinic,3723.27,465.41,124.99,8,158,465.40875,19.75,0.023570764879493226,0.00441951841490498,5.465867158671587,5.493857441965986,Low
Perlmutter Eye Center (AKA Lawrence Perlmutter Md Pc),1845.45,461.36,126.56,4,79,461.3625,19.75,0.011682920671039375,0.004381095251639765,5.465867158671587,5.4819311745942665,Low
Pelham Parkway Vision Center Inc,834.44,278.15,23.53,3,59,278.1466666666667,19.666666666666668,0.005282557817736649,0.0026412789088683243,5.442804428044281,5.450728264770886,Low
Bainbridge Eye Care (AKA Bainbridge Optical Corp),774.58,258.19,24.84,3,59,258.1933333333333,19.666666666666668,0.004903604374745282,0.0024518021873726407,5.442804428044281,5.450159834606398,Low
Stroudsburg Eye Specialists & Hazleton Eye Specialists,3380.28,375.59,121.77,9,176,375.5866666666667,19.555555555555557,0.02139941103031834,0.003566568505053057,5.412054120541205,5.437020100076577,Low
Lucas County Health Center,10961.52,10961.52,1625.0,1,19,10961.52,19.0,0.06939368099596929,0.10409052149395394,5.25830258302583,5.431786785515753,Low
Eye Care Associates of Nevada (AKA Paul W Hiss MD Ltd),17208.53,5736.18,2650.0,3,57,5736.176666666666,19.0,0.10894139145205842,0.05447069572602921,5.25830258302583,5.421714670203918,Low
Glaucoma Consultants of New York (AKA David Joseph Pinhas MD PC),540.02,270.01,29.71,2,39,270.01,19.5,0.003418684234617401,0.002564013175963051,5.3966789667896675,5.402661664200248,Low
Empire State Ambulatory Surgery Center,523.38,261.69,22.86,2,39,261.69,19.5,0.003313342014581044,0.002485006510935783,5.3966789667896675,5.402477315315184,Low
Glaucoma Associates of Texas,97398.05,9739.8,7440.0,10,169,9739.805,16.9,0.6165941595079393,0.0924891239261909,4.6771217712177116,5.386205054651842,Low
Long Island Ambulatory Surgery Center,7240.45,1034.35,1050.0,7,134,1034.35,19.142857142857142,0.045836843573452024,0.009822180765739718,5.297838692672641,5.353497717011832,Low
Compton Eye Associates,5462.76,5462.76,1000.0,1,19,5462.76,19.0,0.03458288857727224,0.05187433286590836,5.25830258302583,5.34475980446901,Low
NewYork-Presbyterian Westchester (FKA NewYork-Presbyterian Lawrence Hospital),1253.48,626.74,174.88,2,38,626.74,19.0,0.007935358531921448,0.005951518898941086,5.25830258302583,5.272189460456692,Low
Burman and Zuckerbrod Ophthalmology Associates PC,376.27,376.27,149.6,1,19,376.27,19.0,0.002382038289247601,0.0035730574338714016,5.25830258302583,5.264257678748949,Low
Centinela Hospital Medical Center,293.8,293.8,27.72,1,19,293.8,19.0,0.00185994857251693,0.002789922858775395,5.25830258302583,5.262952454457122,Low
Cerritos Eye Medical Center Inc,283.11,283.11,29.53,1,19,283.11,19.0,0.0017922737929382847,0.002688410689407427,5.25830258302583,5.262783267508175,Low
Fresno Surgical Hospital,157623.37,19702.92,16800.0,8,116,19702.92125,14.5,0.9978603200367865,0.18709881000689746,4.012915129151291,5.197874259194975,Low
Omni Eye Services of Atlanta,113166.55,12574.06,14000.0,9,141,12574.061111111112,15.666666666666666,0.7164192073831375,0.1194032012305229,4.335793357933579,5.171615766547239,Low
Forester & Pitt Vision Source (AKA Oklahoma City Vision Source),7101.66,2367.22,2280.0,3,55,2367.22,18.333333333333332,0.04495821095813676,0.022479105479068378,5.07380073800738,5.141238054444585,Low
Sampalis Eyecare PC,7247.98,7247.98,2625.0,1,18,7247.98,18.0,0.04588451346028338,0.06882677019042507,4.981549815498155,5.096261099148863,Low
Pinnacle Eye Center Inc,6432.71,6432.71,3530.0,1,18,6432.71,18.0,0.04072331443810545,0.06108497165715818,4.981549815498155,5.083358101593419,Low
Eyecare Center of Ken Caryl,5672.83,5672.83,2375.0,1,18,5672.83,18.0,0.035912770798608634,0.053869156197912944,4.981549815498155,5.071331742494676,Low
Westchester Medical Center,11234.34,3744.78,4125.0,3,53,3744.78,17.666666666666668,0.07112081227423366,0.03556040613711683,4.88929889298893,4.99598011140028,Low
CarolinaEast Health System (AKA CarolinaEast Medical Center),1144.14,381.38,120.41,3,54,381.38000000000005,18.0,0.007243163920216202,0.003621581960108102,4.981549815498155,4.992414561378479,Low
Cheryl J Powell MD Inc,491.58,491.58,124.72,1,18,491.58,18.0,0.0031120269546557945,0.004668040431983692,4.981549815498155,4.989329882884794,Low
Randal Pham MD MS FACS (FKA Aesthetic & Refractive Surgery Medical Center Inc),483.07,483.07,123.93,1,18,483.07,18.0,0.0030581530188078737,0.004587229528211811,4.981549815498155,4.9891951980451745,Low
Ambulatory Eye Surgery Center of Louisiana,466.49,466.49,121.87,1,18,466.49,18.0,0.002953190638507225,0.004429785957760838,4.981549815498155,4.988932792094422,Low
Eye Surgery Institute,364.57,364.57,24.5,1,18,364.57,18.0,0.002307969540784538,0.0034619543111768063,4.981549815498155,4.987319739350116,Low
West Coast Eye Institute (FKA Southwest Eye Care and Laser),334.38,334.38,109.84,1,18,334.38,18.0,0.0021168468471007866,0.0031752702706511794,4.981549815498155,4.986841932615906,Low
Dietlein Eye Center (FKA Jon F Dietlein MD PA),356.89,178.44,16.83,2,36,178.445,18.0,0.0022593500546139113,0.0016945125409604336,4.981549815498155,4.985503678093729,Low
Highland Ophthalmology Associates,1769.45,442.36,124.96,4,71,442.3625,17.75,0.011201790339142554,0.004200671377178457,4.912361623616237,4.927764085332558,Low
Eye Physicians of North Houston Pa (FKA Nanes Eye Associates Pa),1260.66,315.17,124.7,4,71,315.165,17.75,0.007980812686961176,0.0029928047576104405,4.912361623616237,4.923335241060808,Low
Kindred Optics at Maitland Vision,10970.17,10970.17,4000.0,1,17,10970.17,17.0,0.06944844122453386,0.1041726618368008,4.704797047970479,4.878418151031814,Low
Beverly Hills Institute of Ophthalmology,8079.56,2693.19,2450.0,3,52,2693.186666666667,17.333333333333332,0.05114896558395129,0.025574482791975644,4.797047970479704,4.873771418855631,Low
Harvard Eye Associates,133373.9,11114.49,9800.0,12,170,11114.491666666667,14.166666666666666,0.8443451154391278,0.10554313942989098,3.9206642066420656,4.8705524615110845,Low
Advanced Eyecare Specialists & Optical Boutique (AKA Jasper Eye Care Inc),24572.24,12286.12,3842.5,2,33,12286.12,16.5,0.15555855245589997,0.11666891434192497,4.566420664206642,4.838648131004467,Low
Vision Care Associates (AKA H Robert Gaetano OD Inc),7789.26,7789.26,2755.0,1,17,7789.26,17.0,0.04931117432935066,0.07396676149402599,4.704797047970479,4.828074983793856,Low
City Eye MD (AKA Maayan Keshet Md Pc),882.57,294.19,31.61,3,52,294.19,17.333333333333332,0.0055872525923970975,0.002793626296198548,4.797047970479704,4.805428849368299,Low
West Jefferson Medical Center,15865.54,5288.51,2715.0,3,50,5288.513333333333,16.666666666666668,0.10043937534108323,0.050219687670541614,4.612546125461255,4.763205188472879,Low
Specialty Surgical Center of Arcadia,1374.63,458.21,310.15,3,51,458.21000000000004,17.0,0.008702318264938554,0.004351159132469277,4.704797047970479,4.717850525367887,Low
Carlos A Omphroy MD Inc,638.26,638.26,125.0,1,17,638.26,17.0,0.004040608495216663,0.006060912742824995,4.704797047970479,4.714898569208521,Low
Lasik Eye Center (AKA Eyecare Medical Corporation),802.98,401.49,119.23,2,34,401.49,17.0,0.00508339518298041,0.0038125463872353076,4.704797047970479,4.713692989540695,Low
Steven C Wilson OD Inc,522.16,522.16,137.58,1,17,522.16,17.0,0.003305618606621648,0.004958427909932472,4.704797047970479,4.713061094487033,Low
Westside Eye Clinic,323.14,323.14,23.76,1,17,323.14,17.0,0.002045690203278151,0.0030685353049172267,4.704797047970479,4.709911273478674,Low
Eye Associates of West Jefferson,319.67,319.67,23.93,1,17,319.67,17.0,0.002023722805229704,0.003035584207844556,4.704797047970479,4.709856354983554,Low
Mercy San Juan Medical Center,317.34,317.34,29.98,1,17,317.34,17.0,0.002008972362159709,0.0030134585432395633,4.704797047970479,4.709819478875879,Low
MercyOne Des Moines Medical Center (FKA Mercy Medical Center - Des Moines),309.96,309.96,57.3,1,17,309.96,17.0,0.001962252074667623,0.002943378112001434,4.704797047970479,4.709702678157148,Low
Wood County Hospital,293.85,293.85,31.18,1,17,293.85,17.0,0.00186026510563002,0.00279039765844503,4.704797047970479,4.709447710734555,Low
Glaucoma Services PC,292.07,292.07,24.57,1,17,292.07,17.0,0.0018489965268040154,0.002773494790206023,4.704797047970479,4.709419539287489,Low
Harlem Health Center,227.95,227.95,21.24,1,17,227.95,17.0,0.0014430744625773797,0.0021646116938660695,4.704797047970479,4.708404734126923,Low
Desert Ophthalmology,224.17,224.17,22.77,1,17,224.17,17.0,0.0014191445592277746,0.002128716838841662,4.704797047970479,4.708344909368549,Low
Harborview Medical Center,380934.85,63489.14,187500.0,6,36,63489.14166666666,6.0,2.4115698790995603,0.6028924697748901,1.6605166051660516,4.674978954040502,Low
Dr Carlson & Associates (AKA Carlson Eyecare Centers),14475.17,7237.58,3045.0,2,32,7237.585,16.0,0.09163741245214393,0.06872805933910794,4.428044280442805,4.588409752234057,Low
Cataract & Vision Center of Hawaii,1152.59,576.3,121.87,2,33,576.295,16.5,0.007296658016328415,0.0054724935122463115,4.566420664206642,4.579189815735217,Low
Retina Associates of Orange County,78051.85,26017.28,8400.0,3,41,26017.283333333336,13.666666666666666,0.49411990125869826,0.24705995062934913,3.7822878228782284,4.523467674766276,Low
Family Eye Care Services,4418.72,4418.72,1045.0,1,16,4418.72,16.0,0.02797342394946225,0.04196013592419338,4.428044280442805,4.4979778403164605,Low
Michael K Tran MD,3049.63,3049.63,2750.0,1,16,3049.63,16.0,0.019306177553454068,0.028959266330181102,4.428044280442805,4.47630972432644,Low
Rosemead Eye Center,2616.18,1308.09,2200.0,2,32,1308.09,16.0,0.016562151996076725,0.012421613997057542,4.428044280442805,4.457028046435939,Low
Bingjing Roberts Md PLLC,619.23,619.23,125.01,1,16,619.23,16.0,0.0039201359923746034,0.005880203988561906,4.428044280442805,4.437844620423741,Low
Coastal Vision Medical Group,42620.37,5327.55,16000.0,8,119,5327.54625,14.875,0.26981516794296595,0.05059034398930611,4.116697416974169,4.437102928906441,Low
Stony Brook Medicine (AKA Stony Brook University Hospital System),377.4,377.4,118.39,1,16,377.4,16.0,0.0023891919376034356,0.0035837879064051534,4.428044280442805,4.434017260286813,Low
Los Angeles Eye Institute (AKA Irina Ganelis MD PC),370.5,370.5,29.97,1,16,370.5,16.0,0.0023455103679970134,0.0035182655519955205,4.428044280442805,4.433908056362798,Low
Precision Optical of Hammond Inc,355.33,355.33,68.68,1,16,355.33,16.0,0.0022494742214855027,0.0033742113322282542,4.428044280442805,4.433667965996519,Low
Fuquay Ophthalmology and Glaucoma PC,352.95,352.95,32.93,1,16,352.95,16.0,0.002234407245302418,0.003351610867953627,4.428044280442805,4.433630298556061,Low
Kings Daughters Health Physicians,348.64,348.64,24.66,1,16,348.64,16.0,0.0022071220909540587,0.003310683136431088,4.428044280442805,4.43356208567019,Low
Vision Care Medical Group (AKA Kathleen Dennis - Zarate),297.58,297.58,24.69,1,16,297.58,16.0,0.0018838784758665353,0.0028258177137998027,4.428044280442805,4.432753976632471,Low
Kayvan Keyhani MD PC,296.33,296.33,23.54,1,16,296.33,16.0,0.0018759651480392847,0.0028139477220589268,4.428044280442805,4.432734193312903,Low
Stephanie K Becker MD PC,294.47,294.47,23.8,1,16,294.47,16.0,0.0018641901162323362,0.0027962851743485043,4.428044280442805,4.432704755733385,Low
Dr Michael Kanner,293.17,293.17,28.39,1,16,293.17,16.0,0.0018559602552919957,0.0027839403829379938,4.428044280442805,4.432684181081035,Low
Cheyenne Regional Health System,176.72,176.72,21.01,1,16,176.72,16.0,0.00111875463490535,0.0016781319523580251,4.428044280442805,4.430841167030068,Low
Dr Richlin OD & Associates (FKA Steven B Richlin OD Inc),1618.55,404.64,109.21,4,63,404.6375,15.75,0.010246493403836886,0.003842435026438832,4.358856088560886,4.372945016991162,Low
