npi,year,BRAND_NAME,GENERIC_NAME,MANUFACTURER,unique_patients,total_prescriptions,total_payment,total_days_supply,provider_name,Primary_Specialty,Primary_Hospital_Affiliation,received_novo_payment,total_novo_payments,novo_transaction_count,ozempic_specific_payments
1639195456,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,718.000000000,1006.000000000,1096383.664100000,57432.000000000,"Saleh, Mohammad J",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,2093.320000000,180,1392.720000000
1912942582,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1027.000000000,1314.000000000,1071292.315000000,42060.000000000,"Alzohaili, Opada ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1674.440000000,64,732.610000000
1861606808,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1015.000000000,1403.000000000,1050257.858000000,43307.000000000,"Elkadry, Ayman H",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1569.330000000,82,720.100000000
1477560308,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,739.000000000,909.000000000,965431.077000000,46576.000000000,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,74511.830000000,107,15291.540000000
1194025395,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,681.000000000,955.000000000,957529.807000000,50708.000000000,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,31954.860000000,125,4086.170000000
1427345065,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,781.000000000,1044.000000000,943258.603000000,41964.000000000,"Achira, Ali Alexandru",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1406.350000000,115,583.350000000
1912942582,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,878.000000000,1097.000000000,939585.465000000,36159.000000000,"Alzohaili, Opada ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1674.440000000,64,732.610000000
1154741874,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,612.000000000,893.000000000,936596.946000000,51058.000000000,"Lawrence, Lima ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,476.410000000,25,104.950000000
1053567743,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,757.000000000,1103.000000000,917704.887500000,47893.000000000,"Nadolsky, Karl Zahlmann",Endocrinology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),1,3238.530000000,212,516.840000000
1346446143,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,568.000000000,727.000000000,885987.080000000,38364.000000000,"Khoury, Nadia ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1664.410000000,141,880.540000000
1477560308,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,565.000000000,895.000000000,869030.351100000,48531.000000000,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,74511.830000000,107,15291.540000000
1427345065,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,811.000000000,1119.000000000,861493.219000000,38886.000000000,"Achira, Ali Alexandru",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1406.350000000,115,583.350000000
1811143233,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,586.000000000,850.000000000,827288.915000000,34660.000000000,"Banka, Ajaz Ahamad",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),0,0E-9,0,0E-9
1578521118,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,475.000000000,708.000000000,783145.859000000,36385.000000000,"Bijlani, Smita ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1195.310000000,70,565.230000000
1346446143,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,517.000000000,765.000000000,773825.208000000,40293.000000000,"Khoury, Nadia ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1664.410000000,141,880.540000000
1710953724,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,521.000000000,799.000000000,770756.696000000,33543.000000000,"Forde, Ann Louise",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,1050.560000000,86,277.410000000
1962427260,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,571.000000000,798.000000000,746344.952000000,30159.000000000,"Elder, Mahir Darrar",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,670.540000000,33,230.980000000
1053567743,2020.000000000,OZEMPIC,semaglutide,Novo Nordisk,537.000000000,881.000000000,737809.808200000,39652.000000000,"Nadolsky, Karl Zahlmann",Endocrinology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),1,3238.530000000,212,516.840000000
1194025395,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,515.000000000,804.000000000,736511.257000000,41779.000000000,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,31954.860000000,125,4086.170000000
1649238213,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,525.000000000,782.000000000,716540.661000000,35793.000000000,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,77122.540000000,146,21041.040000000
1912942582,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,775.000000000,972.000000000,714971.425000000,31953.000000000,"Alzohaili, Opada ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1674.440000000,64,732.610000000
1609054899,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,498.000000000,648.000000000,709411.659000000,35239.000000000,"Dlewati, Abdallah ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,535.670000000,29,113.980000000
1124469523,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,714.000000000,1014.000000000,704162.071000000,32768.000000000,"Iqbal, Amena ",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1072.690000000,101,371.050000000
1154741874,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,466.000000000,717.000000000,700113.820000000,34603.000000000,"Lawrence, Lima ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,476.410000000,25,104.950000000
1265559488,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,533.000000000,740.000000000,691899.296000000,37487.000000000,"Hammoude, Mohammad A",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1520.850000000,80,940.980000000
1053567743,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,509.000000000,717.000000000,689310.546000000,32294.000000000,"Nadolsky, Karl Zahlmann",Endocrinology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),1,3238.530000000,212,516.840000000
1639195456,2020.000000000,OZEMPIC,semaglutide,Novo Nordisk,471.000000000,680.000000000,688489.921580000,35803.000000000,"Saleh, Mohammad J",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,2093.320000000,180,1392.720000000
1053567743,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,604.000000000,822.000000000,679232.277000000,35588.000000000,"Nadolsky, Karl Zahlmann",Endocrinology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),1,3238.530000000,212,516.840000000
1568444677,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,318.000000000,502.000000000,674038.110000000,28804.000000000,"Issa, Nadheer H",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,657.130000000,43,321.690000000
1609054899,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,435.000000000,684.000000000,634519.928700000,35002.000000000,"Dlewati, Abdallah ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,535.670000000,29,113.980000000
1477710101,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,497.000000000,705.000000000,628938.327000000,30933.000000000,"Barkoff, Nichole Therese",Physician Assistant,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),1,205.330000000,2,124.160000000
1104056670,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,320.000000000,553.000000000,617102.718000000,26785.000000000,"Schmitt, Jill Patricia",Family Practice,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1103.950000000,75,220.550000000
1710953724,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,378.000000000,615.000000000,614626.581000000,28633.000000000,"Forde, Ann Louise",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,1050.560000000,86,277.410000000
1881666501,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,499.000000000,656.000000000,609240.597000000,26292.000000000,"Vliet, Deborah Ann",Nurse - Nurse Practitioner,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1066.730000000,103,418.710000000
1912942582,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,546.000000000,712.000000000,595193.812900000,24340.000000000,"Alzohaili, Opada ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1674.440000000,64,732.610000000
1346528262,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,429.000000000,649.000000000,588866.255000000,29935.000000000,"Ramakrishnan, Reshma ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,657.620000000,50,223.730000000
1477710101,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,411.000000000,636.000000000,587981.063000000,30063.000000000,"Barkoff, Nichole Therese",Physician Assistant,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),1,205.330000000,2,124.160000000
1801316989,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,340.000000000,503.000000000,587443.815000000,27184.000000000,"Murthy, Olivia Charlotte-Anne",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),0,0E-9,0,0E-9
1285715409,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,442.000000000,676.000000000,575985.956000000,25318.000000000,"Sakharova, Alla A",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,1332.300000000,116,550.730000000
1801316989,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,400.000000000,592.000000000,568475.470450000,27633.000000000,"Murthy, Olivia Charlotte-Anne",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),0,0E-9,0,0E-9
1902008444,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,376.000000000,549.000000000,565380.975000000,28780.000000000,"Berris, Karen Koenig",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,856.250000000,58,451.730000000
1154741874,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,412.000000000,521.000000000,562329.258000000,27504.000000000,"Lawrence, Lima ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,476.410000000,25,104.950000000
1023013711,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,597.000000000,876.000000000,562043.759000000,28808.000000000,"Hernandez, Maridel Aileen",Internal Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),1,43.130000000,3,29.980000000
1841245263,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,428.000000000,678.000000000,558909.567000000,27520.000000000,"Dawood-Farah, Farah Rafik",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1014.580000000,58,412.980000000
1124469523,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,631.000000000,856.000000000,558295.365880000,25251.000000000,"Iqbal, Amena ",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1072.690000000,101,371.050000000
1427584812,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,518.000000000,682.000000000,556882.322000000,30732.000000000,"Kathawa, Rita Karana",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,885.530000000,47,295.440000000
1649238213,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,394.000000000,522.000000000,551727.626000000,27212.000000000,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,77122.540000000,146,21041.040000000
1124469523,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,470.000000000,647.000000000,547925.348000000,22709.000000000,"Iqbal, Amena ",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1072.690000000,101,371.050000000
1831147768,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,702.000000000,967.000000000,546696.432000000,29728.000000000,"Go, Benedict L",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1923.950000000,177,818.140000000
1073582417,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,539.000000000,691.000000000,546452.915000000,22308.000000000,"Krakauer, Jesse C",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,16.180000000,1,16.180000000
1649238213,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,420.000000000,618.000000000,536402.238500000,29146.000000000,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,77122.540000000,146,21041.040000000
1346446143,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,346.000000000,458.000000000,536162.002500000,24556.000000000,"Khoury, Nadia ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1664.410000000,141,880.540000000
1255827994,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,376.000000000,491.000000000,536111.074000000,21016.000000000,"Madahar, Inderpreet Kaur",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,111.070000000,7,42.660000000
1427345065,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,479.000000000,670.000000000,535518.263300000,24890.000000000,"Achira, Ali Alexandru",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1406.350000000,115,583.350000000
1649238213,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,423.000000000,639.000000000,523794.575000000,27716.000000000,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,77122.540000000,146,21041.040000000
1730479270,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,346.000000000,550.000000000,522490.854000000,21854.000000000,"Morris, Amanda Lynn",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1445.270000000,148,547.850000000
1578543849,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,321.000000000,501.000000000,521184.128000000,23482.000000000,"Khoury, Sleman A",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1644.350000000,141,860.340000000
1861606808,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,542.000000000,763.000000000,517215.805180000,21966.000000000,"Elkadry, Ayman H",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1569.330000000,82,720.100000000
1851565212,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,366.000000000,611.000000000,512231.835000000,28850.000000000,"Syed, Samina T",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,61.680000000,4,36.290000000
1811143233,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,411.000000000,534.000000000,512104.209000000,22418.000000000,"Banka, Ajaz Ahamad",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),0,0E-9,0,0E-9
1710953724,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,402.000000000,523.000000000,506897.271000000,21456.000000000,"Forde, Ann Louise",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,1050.560000000,86,277.410000000
1073582417,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,470.000000000,633.000000000,506056.164000000,20576.000000000,"Krakauer, Jesse C",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,16.180000000,1,16.180000000
1326333493,2020.000000000,OZEMPIC,semaglutide,Novo Nordisk,444.000000000,756.000000000,504748.809620000,22260.000000000,"Alhusseini, Maha ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,785.480000000,40,518.700000000
1811143233,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,357.000000000,504.000000000,500875.191000000,22385.000000000,"Banka, Ajaz Ahamad",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),0,0E-9,0,0E-9
1841245263,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,375.000000000,484.000000000,498573.467000000,22234.000000000,"Dawood-Farah, Farah Rafik",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1014.580000000,58,412.980000000
1871674192,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,421.000000000,555.000000000,492338.443000000,22545.000000000,"Igwe, Robert C",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,1380.930000000,125,473.530000000
1902008444,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,386.000000000,545.000000000,489736.317000000,27016.000000000,"Berris, Karen Koenig",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,856.250000000,58,451.730000000
1437193794,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,544.000000000,678.000000000,488977.075000000,21318.000000000,"Mian, Saadia Rafiq",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1129.810000000,66,649.590000000
1649525288,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,311.000000000,402.000000000,484611.523800000,23660.000000000,"Perrotta, Elizabeth M",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),0,0E-9,0,0E-9
1194025395,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,321.000000000,448.000000000,481830.054000000,25622.000000000,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,31954.860000000,125,4086.170000000
1811143233,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,332.000000000,436.000000000,481155.711300000,19808.000000000,"Banka, Ajaz Ahamad",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),0,0E-9,0,0E-9
1104056670,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,281.000000000,574.000000000,477778.963000000,28501.000000000,"Schmitt, Jill Patricia",Family Practice,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1103.950000000,75,220.550000000
1720361090,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,505.000000000,658.000000000,473931.287000000,23790.000000000,"Friedrick, Gail Lynn",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),1,124.490000000,4,16.710000000
1346528262,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,341.000000000,463.000000000,472402.350000000,24049.000000000,"Ramakrishnan, Reshma ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,657.620000000,50,223.730000000
1881666501,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,358.000000000,518.000000000,467328.859720000,21110.000000000,"Vliet, Deborah Ann",Nurse - Nurse Practitioner,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,1066.730000000,103,418.710000000
1578543849,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,299.000000000,345.000000000,465539.201000000,20146.000000000,"Khoury, Sleman A",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1644.350000000,141,860.340000000
1053725267,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,434.000000000,632.000000000,457483.777000000,20568.000000000,"Nearpass, Erika Suzanne",Internal Medicine,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),1,222.770000000,14,127.630000000
1073582417,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,478.000000000,578.000000000,453870.081000000,19560.000000000,"Krakauer, Jesse C",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,16.180000000,1,16.180000000
1962427260,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,360.000000000,456.000000000,453305.802000000,17024.000000000,"Elder, Mahir Darrar",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,670.540000000,33,230.980000000
1194025395,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,358.000000000,480.000000000,450631.007000000,24797.000000000,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,31954.860000000,125,4086.170000000
1265743272,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,316.000000000,450.000000000,445393.291000000,21698.000000000,"Ducato, Michael ",Family Practice,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),1,828.250000000,52,414.540000000
1750972113,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,240.000000000,382.000000000,438011.059000000,19363.000000000,"Bata, Joseph ",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,397.140000000,21,53.210000000
1225028681,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,426.000000000,532.000000000,431710.573000000,19481.000000000,"Zia, Arqam ",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,737.910000000,55,444.880000000
1902008444,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,355.000000000,475.000000000,422864.621500000,22831.000000000,"Berris, Karen Koenig",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),1,856.250000000,58,451.730000000
1801316989,2021.000000000,OZEMPIC,semaglutide,Novo Nordisk,327.000000000,460.000000000,422311.462800000,21358.000000000,"Murthy, Olivia Charlotte-Anne",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),0,0E-9,0,0E-9
1912942582,2020.000000000,OZEMPIC,semaglutide,Novo Nordisk,430.000000000,568.000000000,419988.528000000,17591.000000000,"Alzohaili, Opada ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1674.440000000,64,732.610000000
