npi,provider_name,Primary_Specialty,Primary_Hospital_Affiliation,program_year,payment_type,product_category,transaction_count,total_payment,avg_payment
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,13190.630000000,6595.315000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,11437.500000000,5718.750000000
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,6,11080.000000000,1846.666666667
1407867799,"Blind, Rachel L",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Wegovy,6,10995.000000000,1832.500000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,6,10829.000000000,1804.833333333
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,5,10812.000000000,2162.400000000
1194025395,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,8,10545.000000000,1318.125000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,6,10462.500000000,1743.750000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,3,10350.000000000,3450.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,3,9450.000000000,3150.000000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,4,9265.000000000,2316.250000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2021,Travel and Lodging,Rybelsus,15,9083.280000000,605.552000000
1194025395,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,6,9055.880000000,1509.313333333
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,5,9010.000000000,1802.000000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,9,7942.500000000,882.500000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2024,Consulting Fee,Victoza,2,7781.250000000,3890.625000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,7,7690.000000000,1098.571428571
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,3,7525.000000000,2508.333333333
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,5,7384.500000000,1476.900000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,4,7157.000000000,1789.250000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,5,7056.500000000,1411.300000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,7012.500000000,3506.250000000
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,4,6940.000000000,1735.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,3,6825.000000000,2275.000000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,Consulting Fee,Other Novo Products,2,6545.000000000,3272.500000000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,Travel and Lodging,Other Novo Products,19,6418.570000000,337.819473684
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,4,6254.500000000,1563.625000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,4,5899.000000000,1474.750000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,6,5628.000000000,938.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,5343.750000000,2671.875000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,6,5064.000000000,844.000000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,1,5037.500000000,5037.500000000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Travel and Lodging,Wegovy,20,4885.410000000,244.270500000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,4875.000000000,2437.500000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,3,4860.000000000,1620.000000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,4781.750000000,2390.875000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,5,4725.000000000,945.000000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,5,4725.000000000,945.000000000
1114194958,"Rifai, Aya ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,3,4615.500000000,1538.500000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,Consulting Fee,Victoza,2,4590.000000000,2295.000000000
1336670165,"Pallazola, Vincent Andrew",Internal Medicine,Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),2024,Consulting Fee,Ozempic,3,4500.000000000,1500.000000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,6,4500.000000000,750.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,2,4420.000000000,2210.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,4150.000000000,2075.000000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,Travel and Lodging,Ozempic,6,4023.690000000,670.615000000
1114194958,"Rifai, Aya ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,3910.000000000,1955.000000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,3681.250000000,1840.625000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,3,3630.500000000,1210.166666667
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,1,3485.000000000,3485.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,2,3468.000000000,1734.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,4,3376.000000000,844.000000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,1,3315.000000000,3315.000000000
1831488774,"Egan, Celia Marie Vihtelic",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Travel and Lodging,Other Novo Products,6,3306.010000000,551.001666667
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2024,Travel and Lodging,Wegovy,7,3083.950000000,440.564285714
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,Travel and Lodging,Rybelsus,10,2961.390000000,296.139000000
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,2805.000000000,1402.500000000
1114194958,"Rifai, Aya ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,2788.000000000,1394.000000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,2,2754.000000000,1377.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,2,2692.500000000,1346.250000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,2,2504.500000000,1252.250000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,3,2438.000000000,812.666666667
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,2438.000000000,1219.000000000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,Travel and Lodging,Wegovy,10,2385.940000000,238.594000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,1,2275.000000000,2275.000000000
1174554364,"Benson, Paul Alan",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Consulting Fee,Other Novo Products,2,2250.000000000,1125.000000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,Travel and Lodging,Other Novo Products,4,2232.600000000,558.150000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,1,2210.000000000,2210.000000000
1114194958,"Rifai, Aya ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Wegovy,1,2210.000000000,2210.000000000
1194025395,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,2,2158.750000000,1079.375000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Consulting Fee,Other Novo Products,1,2100.000000000,2100.000000000
1194025395,"Ferrise, Carla Marie",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,1,2042.500000000,2042.500000000
1548293483,"Sandberg, Jay H",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Consulting Fee,Rybelsus,2,2040.000000000,1020.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,Consulting Fee,Rybelsus,2,2040.000000000,1020.000000000
1548293483,"Sandberg, Jay H",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Consulting Fee,Rybelsus,2,2040.000000000,1020.000000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,Travel and Lodging,Ozempic,4,2003.190000000,500.797500000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,1,1993.750000000,1993.750000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,1876.000000000,938.000000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,2,1876.000000000,938.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,1,1834.250000000,1834.250000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Travel and Lodging,Rybelsus,6,1832.580000000,305.430000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,Travel and Lodging,Rybelsus,10,1763.740000000,176.374000000
