Primary_Specialty,prescriber_count,total_prescriptions,total_payments,total_patients,avg_payment,avg_cost_per_prescription
Osteopathic Manipulative Medicine,9,186576.000000000,10228005.505318000,167241.000000000,102.679478223,54.819513256
Critical Care (Intensivists),24,47723.000000000,9310951.285350000,41584.000000000,322.178245168,195.104064819
Pulmonary Disease - Pediatric,4,50757.000000000,8729078.336320000,35403.000000000,371.213197377,171.977822494
Psychiatry - Neuropsychiatry,2,103540.000000000,8580436.242986000,86037.000000000,152.003334744,82.870738294
Addiction Medicine,11,112823.000000000,7633763.399268000,96365.000000000,133.280316350,67.661411231
Pain Management,23,333962.000000000,7281796.810814000,302802.000000000,41.599095162,21.804267584
Surgery - General Surgery,252,441327.000000000,7234318.548461000,377450.000000000,35.222350399,16.392195693
Podiatry,159,409692.000000000,6984159.046202000,363263.000000000,32.064637634,17.047340554
Nurse - Certified Nurse Midwife,108,238797.000000000,5919683.240942000,208908.000000000,44.739659000,24.789604731
Surgery - Vascular Surgery,36,44418.000000000,4341681.191331000,39395.000000000,176.821747631,97.745985666
Pain Management - Interventional Pain Management,6,147787.000000000,3337692.004819000,129733.000000000,42.613367441,22.584476340
Allergy/Immunology - Pediatric,1,36557.000000000,2396649.205565000,25073.000000000,164.616333922,65.559241884
Oncology - Gynecological/Oncology,6,11632.000000000,2056152.949079000,10137.000000000,336.137477371,176.766931661
Nurse - Certified Clinical Nurse Specialist,2,48759.000000000,2016801.531093000,40845.000000000,92.786231648,41.362651635
Nephrology - Pediatric,4,15223.000000000,1822448.871451000,11765.000000000,224.356625810,119.716801646
Radiology - Diagnostic Radiology,213,29503.000000000,1626257.990711000,27021.000000000,103.947458658,55.121783910
Pathology,44,5756.000000000,1464112.915774000,4773.000000000,467.021663724,254.362911010
Surgery - Plastic and Reconstructive Surgery,81,215791.000000000,1429617.714003000,194205.000000000,16.144568825,6.625010839
Hospice and Palliative Care,9,56758.000000000,1280900.813472000,49171.000000000,47.145673874,22.567758086
Radiology - Radiation Oncology,46,47591.000000000,1217707.712305000,41319.000000000,49.287934603,25.586932662
Surgery - Otolaryngology/Facial Plastic Surgery,4,31557.000000000,1211727.917187000,27301.000000000,75.610128366,38.398070703
Sports Medicine,18,64709.000000000,1095455.891409000,58973.000000000,35.924831647,16.928957199
Preventive Medicine,2,23577.000000000,1066648.457606000,21807.000000000,88.954087032,45.241059406
Hematology,4,5290.000000000,1015516.976772000,4674.000000000,317.746238039,191.969182755
Infectious Diseases - Pediatric,3,6308.000000000,998544.810217000,4713.000000000,311.170087322,158.298162685
Occupational Medicine,6,33706.000000000,770538.156198000,30021.000000000,40.543970334,22.860563585
Cardiology - Pediatric Cardiologist,8,12701.000000000,732575.505749000,10737.000000000,99.751566687,57.678569069
Surgery - Neurosurgery,43,41363.000000000,453916.613166000,35483.000000000,21.030235970,10.973977061
Surgery - Thoracic Surgery,20,12224.000000000,443364.321133000,11040.000000000,72.244471425,36.269987004
Surgery - Maxillofacial Surgery,19,198987.000000000,440011.509351000,172021.000000000,7.025122287,2.211257566
Rehabilitation Medicine - Pediatric,2,8946.000000000,319174.882252000,6898.000000000,62.891602414,35.677943467
Psychiatry - Forensic,1,7389.000000000,297963.402278000,6566.000000000,60.970616386,40.325267598
Cardiology - Cardiac Surgery,9,8900.000000000,275912.370914000,7658.000000000,62.324908722,31.001389990
Obstetrics/Gynecology - Maternal & Fetal Medicine,3,5568.000000000,231810.102646000,4964.000000000,72.440657077,41.632561538
Surgery - Hand Surgery,12,27376.000000000,146153.743255000,24859.000000000,11.852545881,5.338754502
Surgery - Foot and Ankle,9,7717.000000000,138894.483712000,6730.000000000,33.404156737,17.998507673
Radiology - Interventional Radiology,28,3244.000000000,108970.292550000,2956.000000000,67.894263271,33.591335558
Neonatal-Perinatal Medicine,23,2840.000000000,108600.883297000,2493.000000000,68.003057794,38.239747640
Surgery - Surgical Oncology,7,3305.000000000,97118.857789000,3057.000000000,61.898570930,29.385433522
Surgery - Oral and Maxillofacial Surgery,10,82282.000000000,82976.973698000,71177.000000000,3.546933987,1.008446242
Pediatric Medicine - Developmental & Behavioral,2,2060.000000000,71661.175422000,1788.000000000,56.381727319,34.786978360
Anesthesiology - Certified Registered Nurse Anesthetist,75,2139.000000000,68347.515808000,2024.000000000,53.774599377,31.953022818
Surgery - Pediatric Surgery,7,3757.000000000,67597.448893000,2983.000000000,34.576700201,17.992400557
Emergency Medicine - Pediatric,3,1868.000000000,66015.588420000,1648.000000000,56.183479506,35.340250760
Critical Care (Intensivists) - Pediatric,19,1404.000000000,63710.284937000,1147.000000000,88.856743287,45.377695824
Surgery - Oral Surgery (dentists only),7,38989.000000000,50971.709560000,33757.000000000,4.253668494,1.307335647
Dentist,6,7774.000000000,23342.725745000,6791.000000000,6.777794932,3.002666034
Chiropractic,3,451.000000000,15843.529112000,420.000000000,55.012253861,35.129776302
Surgery - Orthopedic Spine Surgery,1,633.000000000,13325.139213000,565.000000000,36.308281234,21.050772848
Radiology - Nuclear Medicine,7,529.000000000,12332.213818000,470.000000000,52.255143297,23.312313456
Pathology - Cytopathology,2,21.000000000,10592.249500000,20.000000000,1176.916611111,504.392833333
Surgery - Pediatric Orthopedic Surgery,3,1752.000000000,8106.606084000,1415.000000000,12.627112280,4.627058267
Surgery - Trauma,1,802.000000000,2372.147854000,676.000000000,4.821438728,2.957790342
Anesthesiology - Anesthesiologist Assistant,2,36.000000000,536.290000000,34.000000000,41.253076923,14.896944444
Radiology - Neuroradiology,1,1.000000000,,1.000000000,,
Therapy - Physical Therapist,1,1.000000000,,1.000000000,,
